mjd,filter,mag,magerr,limiting_mag,magsys
57605.8874,ztfr,20.52,0.12,21.23,ab
57605.91852,ztfr,20.44,0.13,21.35,ab
57606.89259,ztfr,20.45,0.14,21.25,ab
57606.92674,ztfr,20.46,0.17,21.26,ab
57607.85696,ztfr,20.17,0.12,21.24,ab
57607.88573,ztfr,20.07,0.18,21.34,ab
57608.84652,ztfr,20.55,0.18,21.17,ab
57608.88328,ztfr,20.38,0.13,21.22,ab
57609.84369,ztfr,20.21,0.19,21.20,ab
57610.78,ztfr,20.27,0.14,21.08,ab
57610.80155,ztfr,20.37,0.14,21.20,ab
57625.68211,ztfr,19.66,0.16,21.14,ab
57625.71755,ztfg,19.98,0.14,21.39,ab
57626.73405,ztfg,20.37,0.16,21.49,ab
57627.70122,ztfr,19.98,0.14,21.09,ab
57627.7394,ztfg,20.15,0.13,21.57,ab
57628.68512,ztfr,20.14,0.14,21.28,ab
57628.7233,ztfg,20.20,0.10,21.67,ab
57629.68236,ztfr,20.03,0.13,21.30,ab
57629.71858,ztfg,20.11,0.15,21.72,ab
57630.68984,ztfr,20.18,0.18,21.31,ab
57630.72736,ztfg,20.05,0.12,21.68,ab
57631.67419,ztfr,20.14,0.15,21.28,ab
57631.71182,ztfg,19.99,0.15,21.57,ab
57632.67007,ztfr,20.15,0.13,21.32,ab
57632.70601,ztfg,20.33,0.14,21.54,ab
57633.697,ztfr,20.14,0.13,21.42,ab
57633.73785,ztfg,20.22,0.11,21.75,ab
57635.72487,ztfg,20.09,0.12,21.66,ab
57637.67743,ztfr,20.18,0.13,21.16,ab
57637.71867,ztfg,20.24,0.13,21.62,ab
57638.67316,ztfr,20.12,0.12,21.18,ab
57638.72063,ztfg,20.16,0.14,21.42,ab
57639.72301,ztfr,19.69,0.13,21.55,ab
57640.66963,ztfg,20.13,0.12,21.39,ab
57640.71132,ztfr,20.09,0.11,21.48,ab
57641.65626,ztfg,20.20,0.14,21.07,ab
57641.69683,ztfr,20.35,0.14,21.09,ab
57642.65361,ztfg,19.80,0.15,21.17,ab
57642.69255,ztfr,19.98,0.17,21.30,ab
57643.69887,ztfr,20.24,0.14,21.05,ab
57657.646,ztfr,20.28,0.14,99.00,ab
57657.648,ztfi,20.23,0.20,99.00,ab
57657.65,ztfg,20.48,0.06,99.00,ab
57657.66729,ztfr,20.37,0.14,21.28,ab
57657.70531,ztfg,20.60,0.19,21.37,ab
57659.78399,ztfr,20.29,0.18,99.00,ab
57659.786,ztfi,20.23,0.21,99.00,ab
57659.788,ztfg,20.60,0.06,99.00,ab
57660.7083,ztfg,20.67,0.16,21.61,ab
57663.63985,ztfr,20.04,0.14,21.41,ab
57663.67948,ztfg,20.71,0.14,21.69,ab
57666.66698,ztfr,20.38,0.13,21.50,ab
57666.70583,ztfg,20.93,0.15,21.60,ab
57672.60516,ztfr,20.24,0.16,21.01,ab
57674.79608,ztfr,20.37,0.17,99.00,ab
57674.79781,ztfi,20.33,0.16,99.00,ab
57674.7995,ztfg,20.79,0.21,99.00,ab
57715.64248,ztfr,21.01,0.18,99.00,ab
