filter,mjd,flux,zp,magsys,fluxerr
2massh,57983.758,319.1537855100758,23.9,ab,11.758059982209915
2massh,57983.969,319.1537855100758,23.9,ab,23.51611996441983
2massh,57984.761,356.4511334262439,23.9,ab,13.132145059329616
2massh,57984.969,319.1537855100758,23.9,ab,23.51611996441983
2massh,57985.776,340.40818970100054,23.9,ab,12.54110117021781
2massh,57985.974,296.4831389524342,23.9,ab,19.114974370126806
2massh,57986.71,283.1391995799379,23.9,ab,10.431233603120496
2massh,57986.974,224.90546058357805,23.9,ab,20.714558434908273
2massh,57990.0,115.87773561551262,23.9,ab,6.4036403193164295
2massh,57991.0,71.779429127136,23.9,ab,17.188937323143662
2massh,57992.0,49.65923214503355,23.9,ab,6.403298029334359
2massj,57983.758,359.7493351557416,23.9,ab,9.940241476129554
2massj,57983.969,337.2873086588692,23.9,ab,21.745716411271832
2massj,57984.761,304.78949896279767,23.9,ab,11.228860109005794
2massj,57984.969,293.7649651961528,23.9,ab,24.35107786936474
2massj,57985.776,280.54336379517076,23.9,ab,12.919499348263315
2massj,57985.974,239.88329190194898,23.9,ab,15.465847375769478
2massj,57986.71,203.23570109362208,23.9,ab,22.46243979371366
2massj,57986.974,195.8844673505985,23.9,ab,12.629138325175877
2massj,57988.99,115.87773561551262,23.9,ab,4.269093546210954
2massj,57990.0,71.779429127136,23.9,ab,18.511163271077788
2massj,57991.0,50.58246620031132,23.9,ab,5.124699036147329
2massj,57992.0,29.376496519615262,23.9,ab,2.705675318818303
2massks,57983.758,248.8857318282388,23.9,ab,11.461611519332328
2massks,57983.969,258.22601906345903,23.9,ab,28.54019434169842
2massks,57984.761,328.09529311311906,23.9,ab,12.087477296060479
2massks,57985.776,346.736850452531,23.9,ab,15.967822060874074
2massks,57985.974,304.78949896279767,23.9,ab,22.457720218011588
2massks,57986.71,340.40818970100054,23.9,ab,21.946927047881168
2massks,57986.974,310.4559588128349,23.9,ab,22.875240409395428
2massks,57988.99,265.4605561975536,23.9,ab,7.334946233740742
2massks,57990.0,178.64875748520498,23.9,ab,64.17121867530527
2massks,57991.0,154.17004529495583,23.9,ab,21.29937888494293
2massks,57992.0,144.54397707459265,23.9,ab,26.62598455152241
ps1::g,57983.42,376.70379898390814,23.9,ab,27.75656166446632
ps1::g,57983.758,218.77616239495495,23.9,ab,24.180035051187257
ps1::g,57983.969,145.8814260275349,23.9,ab,5.374470350651448
ps1::g,57984.37,70.46930689671453,23.9,ab,11.033787139031823
ps1::g,57984.761,40.92606597300101,23.9,ab,7.91580295164313
ps1::g,57984.969,30.47894989627977,23.9,ab,3.0879365299765933
ps1::g,57985.38,24.4343055269397,23.9,ab,3.6007723304955763
ps1::g,57985.974,12.823305826560212,23.9,ab,1.8897121817050389
ps1::g,57986.974,8.472274141405968,23.9,ab,1.7167156284749074
ps1::g,57988.99,5.3456435939697196,23.9,ab,2.560230244402229
ps1::g,57990.0,1.770108958317417,23.9,ab,0.5543124040539789
ps1::i,57983.231,461.31757456037957,23.9,ab,25.49335128765358
ps1::i,57983.42,390.8408957924009,23.9,ab,17.998888407680433
ps1::i,57983.969,263.0267991895376,23.9,ab,12.112831737435354
ps1::i,57984.231,258.22601906345903,23.9,ab,14.27009717084921
ps1::i,57984.37,170.60823890031207,23.9,ab,21.99903930749423
ps1::i,57984.761,173.78008287493728,23.9,ab,24.008605697226027
ps1::i,57984.969,134.2764961137864,23.9,ab,4.94692893265724
ps1::i,57985.231,152.75660582380686,23.9,ab,12.662463003345545
ps1::i,57985.38,129.41958414499837,23.9,ab,8.34398894542533
ps1::i,57985.776,109.64781961431828,23.9,ab,20.197874793858354
ps1::i,57985.974,88.7156012037959,23.9,ab,0.8171008833914603
ps1::i,57986.236,,23.9,ab,55.08457406676327
ps1::i,57986.974,57.016427228074605,23.9,ab,2.100562806258311
ps1::i,57987.98,54.95408738576237,23.9,ab,9.110625293775497
ps1::i,57990.0,22.080047330188993,23.9,ab,1.0168237567019232
ps1::i,57991.0,18.706821403658008,23.9,ab,1.033777154432757
ps1::i,57992.0,10.280162981264715,23.9,ab,0.5681028008210246
ps1::r,57983.42,428.5485203974392,23.9,ab,27.629544171370352
ps1::r,57983.758,253.51286304979044,23.9,ab,7.004819272088262
ps1::r,57983.969,231.20647901755964,23.9,ab,2.129490367957894
ps1::r,57984.37,167.49428760264365,23.9,ab,16.969473391002204
ps1::r,57984.761,109.64781961431828,23.9,ab,7.069256177850424
ps1::r,57984.969,80.90958991783822,23.9,ab,12.668482662505143
ps1::r,57985.38,66.68067692136215,23.9,ab,5.527365576115701
ps1::r,57985.776,50.58246620031132,23.9,ab,6.056462497265026
ps1::r,57985.974,43.251383103500885,23.9,ab,0.7967199198839655
ps1::r,57986.71,27.54228703338162,23.9,ab,7.863888984203436
ps1::r,57986.974,22.284351492702985,23.9,ab,1.02623231108275
ps1::r,57987.98,17.5388050184176,23.9,ab,3.8769207344964034
ps1::r,57988.99,15.135612484362072,23.9,ab,4.879144995175736
ps1::r,57990.0,11.694993910198693,23.9,ab,1.1848636201723048
ps1::r,57991.0,6.025595860743575,23.9,ab,0.9989601987855443
ps1::r,57992.0,4.7863009232263805,23.9,ab,0.17633384250247525
ps1::y,57983.231,405.5085354483839,23.9,ab,37.34871635221185
ps1::y,57983.969,428.5485203974392,23.9,ab,11.841233216301578
ps1::y,57984.231,337.2873086588692,23.9,ab,34.17184007485573
ps1::y,57984.969,283.1391995799379,23.9,ab,7.823425202340372
ps1::y,57985.231,212.81390459827134,23.9,ab,21.56097346963281
ps1::y,57985.974,218.77616239495495,23.9,ab,6.045008762796814
ps1::y,57986.236,,23.9,ab,60.39903440804032
ps1::y,57986.974,165.95869074375562,23.9,ab,4.585608088312568
ps1::y,57987.98,106.6596121230258,23.9,ab,17.682683968728448
ps1::y,57988.99,86.29785477669702,23.9,ab,24.63981109180726
ps1::y,57990.0,60.81350012787164,23.9,ab,2.800565176944575
ps1::y,57991.0,34.35579478998746,23.9,ab,2.214999946358854
ps1::y,57992.0,17.701089583174173,23.9,ab,1.7933636601746377
ps1::z,57983.231,452.8975799036195,23.9,ab,25.028045187339693
ps1::z,57983.969,296.4831389524342,23.9,ab,8.192131872911487
ps1::z,57984.231,280.54336379517076,23.9,ab,18.08729908756864
ps1::z,57984.761,181.97008586099807,23.9,ab,50.28019284892569
ps1::z,57984.969,169.04409316432648,23.9,ab,9.341721815492996
ps1::z,57985.231,172.18685749860077,23.9,ab,11.10129695600151
ps1::z,57985.776,155.59656316050703,23.9,ab,48.72530845221065
ps1::z,57985.974,115.87773561551262,23.9,ab,2.134546773105477
ps1::z,57986.236,208.92961308540345,23.9,ab,57.72938550905564
ps1::z,57986.974,85.50667128846823,23.9,ab,4.725273279848854
ps1::z,57987.98,77.98301105232565,23.9,ab,7.900750825258498
ps1::z,57990.0,40.17908108489392,23.9,ab,1.8503150631255159
ps1::z,57991.0,25.11886431509581,23.9,ab,1.3881197405971129
ps1::z,57992.0,12.133888504649743,23.9,ab,0.7823007021440329
sdssu,57984.048,28.840315031266027,23.9,ab,7.70324441831645
sdssu,57984.969,,23.9,ab,10.496149204995424
