filter,mjd,flux,zp,magsys,fluxerr
radio-3GHz,57998.948947,18.70508037553126,23.9,ab,7.838298281117976
radio-3GHz,57999.918947,15.100772509009232,23.9,ab,4.378423628469306
radio-3GHz,58000.858947,14.503737985270506,23.9,ab,4.133207530114491
radio-3GHz,58004.888947,22.49668314963155,23.9,ab,2.9606322439148145
radio-3GHz,58013.748947,34.0042656877765,23.9,ab,3.653461049663137
radio-3GHz,58013.848947,33.99576145825063,23.9,ab,3.654260840844913
radio-3GHz,58028.788947,44.0020903413384,23.9,ab,4.040224408060101
radio-3GHz,58036.798947,47.99906452969035,23.9,ab,6.121748876954728
radio-3GHz,58039.748947,61.00483048706038,23.9,ab,9.274746190043254
radio-3GHz,58075.658947,70.00248362105759,23.9,ab,5.743564499706434
radio-3GHz,58097.528947,88.98098478769069,23.9,ab,28.309401469498262
radio-3GHz,58145.528947,97.86236119832361,23.9,ab,32.28458859603085
radio-3GHz,58179.528947,78.98297813113761,23.9,ab,10.96863362114387
radio-3GHz,58199.438947,64.69967802332475,23.9,ab,2.7076540999652763
radio-3GHz,58202.528947,69.03113578905555,23.9,ab,16.119340885742098
radio-3GHz,58239.288947,55.002007793030344,23.9,ab,1.1013357921686397
radio-3GHz,58249.528947,40.29969669477094,23.9,ab,2.7164119699654496
radio-3GHz,58255.198947,43.994507584636615,23.9,ab,7.245466759170957
radio-3GHz,58271.138947,35.00794725022533,23.9,ab,7.425792743520426
radio-3GHz,58276.528947,31.198489242176553,23.9,ab,3.659439877431606
radio-6GHz,58062.628947,37.39811923761936,23.9,ab,4.272610344325287
radio-6GHz,58094.568947,57.693139974711414,23.9,ab,4.7443052108188075
radio-6GHz,58107.828947,81.99859890802733,23.9,ab,9.458447289984077
radio-6GHz,58131.788947,98.8853501483381,23.9,ab,8.586179601646768
radio-6GHz,58145.418947,80.78183440961664,23.9,ab,12.900895630111869
radio-6GHz,58145.418947,61.08546430822566,23.9,ab,7.447511732920899
radio-6GHz,58164.168947,89.62198281433476,23.9,ab,13.717988512373033
radio-6GHz,58199.408947,38.996309052252414,23.9,ab,9.785868116660703
radio-6GHz,58255.138947,36.00249518156113,23.9,ab,7.3945385610685115
radio-6GHz,58271.078947,35.002880917360415,23.9,ab,7.424961767158811
