field,filter,limmag
3277,desg,23.51812998453776
3277,desr,23.227214177449543
3277,desz,22.212716420491535
3366,desg,23.77525978088379
3366,desr,23.39474983215332
3366,desz,22.33867950439453
3371,desg,23.8129389836238
3371,desr,23.57696870657114
3371,desz,22.712653380173904
3392,desz,22.300535202026367
3402,desz,21.801905632019043
3406,desz,22.38310775756836
3418,desz,22.458138738359725
3421,desg,21.72848892211914
3421,desr,21.459279433540676
3421,desz,20.442846629930578
3426,desz,22.57524803706578
3428,desr,23.121267318725586
3428,desz,20.046008682250978
3431,desz,22.263167762756346
3433,desz,22.369239807128906
3434,desg,23.643909454345703
3434,desz,22.33267307281494
3441,desz,22.50231170654297
3442,desr,23.515260696411133
3447,desz,22.1384220123291
3448,desz,22.591959635416668
3452,desz,22.486209869384766
3455,desg,23.67263889312744
3457,desg,23.90063762664795
3457,desz,22.585354328155518
3460,desg,23.93691306644016
3460,desr,23.614354928334553
3460,desz,22.23092026180691
3462,desz,22.27918472290039
3463,desr,23.224576950073242
3468,desz,22.053538004557293
3474,desz,22.53746119412509
3475,desz,21.95175043741862
3478,desz,22.34426212310791
3481,desz,22.82614641604216
3483,desg,23.73853761499578
3488,desz,22.444615113107783
3489,desz,22.37059631347656
3491,desr,20.60849649765912
3495,desz,22.42712821960449
3496,desz,22.48924857378006
3497,desg,23.82069718837738
3499,desg,24.216197331746418
3499,desr,23.873135884602863
3499,desz,23.036717414855957
3502,desg,24.461387634277344
3502,desr,23.41283893585205
3502,desz,22.095712661743164
3503,desz,22.52127586364746
3504,desg,23.996580759684246
3504,desr,23.59233029683431
3504,desz,22.460974375406902
3507,desz,22.430069890515558
3510,desg,24.089441798982165
3510,desr,23.249494416373118
3510,desz,20.927370595932008
3512,desg,23.99716796875
3512,desr,23.461034297943115
3512,desz,22.578368186950684
3515,desg,23.765097830030655
3515,desr,23.59212663438585
3515,desz,22.651848793029785
3517,desr,23.228312149047852
3517,desz,21.548708724975587
3518,desr,23.266155242919922
3520,desz,22.506433486938477
3522,desz,22.40517180306571
3523,desg,21.181162304348415
3523,desz,22.321274518966675
3528,desg,24.063869857788085
3528,desr,23.44322280883789
3528,desz,22.542535400390626
3529,desz,22.52370318244485
3530,desz,21.293992042541504
3531,desr,23.56004574424342
3533,desg,22.61114501953125
3533,desr,22.214137268066406
3533,desz,22.551520538330077
3536,desz,22.828928451538086
3538,desg,24.042823791503906
3538,desr,23.494521141052246
3541,desg,20.50477429440147
3541,desr,20.027612485383685
3541,desz,22.75047378540039
3543,desz,22.536564220081676
3544,desg,23.669429713282092
3545,desz,22.258556365966797
3546,desg,22.09258529118129
3546,desz,21.65179231431749
3549,desg,23.998640060424805
3549,desr,23.570821425494024
3549,desz,22.59285623887006
3550,desz,22.425669117977744
3551,desg,24.220438321431477
3551,desr,23.92787880367703
3551,desz,22.437866104973686
3552,desr,22.344748576482136
3554,desr,23.410558223724365
3554,desz,22.24716567993164
3557,desg,24.12950897216797
3557,desr,23.35582733154297
3557,desz,21.342928919298895
3558,desz,22.467244466145832
3559,desg,24.2302801767985
3559,desr,23.64115613301595
3559,desz,22.74120814005534
3562,desz,22.408542041120857
3563,desz,22.22607707977295
3564,desg,22.32114573887416
3564,desr,21.93069784981864
3564,desz,22.004302342732746
3565,desr,20.900707817077638
3565,desz,20.721001466115315
3567,desg,24.271403121948243
3567,desr,23.693984985351562
3567,desz,22.705905151367187
3570,desz,22.932619321913947
3572,desr,23.304343805080507
3572,desz,22.45890184728111
3573,desr,23.30904155307346
3575,desg,24.39022397994995
3575,desr,23.589134693145752
3575,desz,21.676580782289857
3577,desz,22.405594598679315
3578,desg,23.314370604122388
3578,desr,22.43900426228841
3578,desz,22.493684936972226
3579,desz,22.430740356445312
3580,desr,23.460372801749937
3583,desg,24.258877904791582
3583,desr,23.810162995990954
3583,desz,22.84444839075992
3584,desz,22.65135934617784
3585,desg,24.205772876739502
3585,desr,20.51833152770996
3585,desz,22.574750247754547
3586,desg,23.85011100769043
3586,desz,20.856444295247396
3588,desg,24.368841648101807
3588,desr,23.8017635345459
3588,desz,22.789511680603027
3591,desg,24.443814968240673
3591,desr,22.849966049194336
3591,desz,22.52046979706863
3592,desz,22.625280475616456
3593,desg,24.253850503401324
3593,desr,23.975388070811395
3593,desz,22.859449303668477
3596,desz,22.719625938229445
3598,desz,22.441821098327637
3599,desg,23.223651218414307
3599,desr,21.119826116059954
3600,desz,22.24075598943801
3601,desg,24.44266919528737
3601,desr,22.501040626974667
3601,desz,23.061884319081027
3604,desg,24.215231275558473
3604,desr,23.854084253311157
3604,desz,22.939745569229125
3605,desz,22.577105769404657
3606,desg,20.07574109470143
3606,desz,22.60381688298406
3607,desr,23.7523809160505
3609,desg,22.96947276953495
3609,desr,22.535093943277996
3609,desz,22.814844580257642
3612,desg,22.107826737796557
3612,desr,21.049030194963727
3612,desz,22.646080998011996
3614,desg,24.144477615356447
3614,desr,23.7562255859375
3614,desz,22.727233505249025
3617,desg,24.442354583740233
3617,desr,23.90067138671875
3617,desz,21.819214477539063
3618,desz,22.55850494198683
3619,desg,20.87683263318292
3619,desr,21.365819733718347
3619,desz,22.3934409197639
3620,desz,22.659833696153427
3622,desz,22.417424411308474
3625,desr,22.247098922729492
3625,desz,23.110415077209474
3627,desg,24.149661540985107
3627,desr,21.552362950642905
3627,desz,20.513962682088216
3628,desr,23.540687414316032
3628,desz,22.052138401911808
3630,desg,24.472591287949506
3630,desr,23.806330961339615
3630,desz,22.322498433730182
3632,desz,22.867451477050782
3633,desg,23.3939481274835
3633,desr,21.826720428466796
3633,desz,22.80293706747202
3634,desz,22.32339394610861
3635,desz,22.060829162597656
3638,desg,24.24674520184917
3638,desr,23.96931992807696
3638,desz,22.87183109406502
3639,desz,22.39948135198549
3640,desg,23.570817658395477
3640,desr,23.103997606219668
3640,desz,22.749949528620792
3641,desg,23.999924959455218
3643,desg,24.48822866903769
3643,desr,23.99742451229611
3643,desz,22.929979582090635
3646,desg,24.464897085119176
3646,desr,23.8428485305221
3646,desz,22.632230495584423
3647,desz,22.516468750803096
3648,desg,24.515870889027912
3648,desr,24.010317113664414
3648,desz,22.96396499209934
3651,desr,20.382182312011718
3651,desz,22.769404125213622
3652,desz,22.400807274712456
3653,desg,22.65471856734332
3653,desr,22.254308083478143
3653,desz,22.35652796427409
3654,desg,22.93560195550686
3654,desz,22.519443372400797
3656,desg,24.515482061049518
3656,desr,23.819165959077722
3656,desz,22.894198978648465
3659,desg,23.69347604115804
3659,desr,23.084516588846842
3659,desz,22.943653057783077
3661,desg,22.27108867963155
3661,desr,23.62532336537431
3661,desz,22.71207418674376
3662,desg,21.548058909754598
3662,desr,23.58164381980896
3664,desz,22.770017313402754
3666,desz,22.447621272160458
3667,desg,24.23367970164229
3667,desr,20.762122344970702
3667,desz,22.67119426262088
3669,desg,24.466422379016876
3669,desr,23.82604330778122
3669,desz,23.001852691173553
3672,desg,24.534423225804378
3672,desr,23.934779869882686
3672,desz,23.124817747818796
3673,desz,22.673825990586053
3674,desg,21.39534580006319
3674,desr,22.441289119231396
3674,desz,22.692901039123534
3675,desr,20.978976090749104
3675,desz,20.551118305751256
3677,desg,24.658393558702972
3677,desr,24.117639340852435
3677,desz,23.08273556357936
3680,desg,20.66170091982241
3680,desr,23.609657287597656
3680,desz,22.97543576868569
