ID,RA,Dec,Field_Type
1,0.0,-90.0,SE
2,180.0,-87.5685577393,SE
3,324.000427246,-87.5685501099,SE
4,35.9995727539,-87.5685501099,SE
5,252.001098633,-87.5685501099,SE
6,107.998893738,-87.5685501099,SE
7,215.999816895,-85.2729110718,SE
8,144.000183105,-85.2729110718,SE
9,0.0,-85.272895813,SE
10,288.000518799,-85.2728500366,SE
11,71.9994888306,-85.2728500366,SE
12,323.999816895,-84.7350769043,SE
13,36.0001945496,-84.7350769043,SE
14,180.0,-84.7350769043,SE
15,251.999847412,-84.7350616455,SE
16,108.000152588,-84.7350616455,SE
17,203.144515991,-82.7987442017,SE
18,156.855484009,-82.7987442017,SE
19,275.144805908,-82.7987442017,SE
20,84.8551864624,-82.7987442017,SE
21,347.144348145,-82.7987289429,SE
22,12.8556642532,-82.7987289429,SE
23,228.855392456,-82.7987213135,SE
24,131.144607544,-82.7987213135,SE
25,300.855651855,-82.7987136841,SE
26,59.1443367004,-82.7987136841,SE
27,180.0,-81.9732131958,WFDNESE
28,324.000030518,-81.9732131958,WFDSE
29,35.9999809265,-81.9732131958,WFDNESE
30,252.0,-81.973197937,WFDSE
31,108.000007629,-81.973197937,WFDNESE
32,216.000167847,-80.5155105591,SE
33,143.999832153,-80.5155105591,SE
34,0.0,-80.5154876709,SE
35,288.000305176,-80.5154724121,SE
36,71.999710083,-80.5154724121,SE
37,268.85848999,-80.1996383667,GPWFDSE
38,91.1415100098,-80.1996383667,WFDNESE
39,196.858413696,-80.1996154785,GPWFDSE
40,163.141586304,-80.1996154785,WFDNESE
41,340.85824585,-80.1996154785,WFDNESE
42,19.1417560577,-80.1996154785,WFDNESE
43,235.141662598,-80.1996078491,WFDNESE
44,124.858329773,-80.1996078491,GPWFDNESE
45,307.141815186,-80.1995925903,GPWFDNESE
46,52.8581924438,-80.1995925903,WFDNESE
47,180.0,-79.2196655273,SE
48,251.999984741,-79.2196350098,SE
49,108.000007629,-79.2196350098,SE
50,324.000152588,-79.2196044922,SE
51,35.9998512268,-79.2196044922,SE
52,295.814422607,-78.0668106079,WFDSE
53,64.1855621338,-78.0668106079,WFDNESE
54,280.185943604,-78.0668106079,GPWFDSE
55,79.8140716553,-78.0668106079,WFDSE
56,223.814498901,-78.0667953491,WFDSE
57,136.185501099,-78.0667953491,WFDSE
58,352.18548584,-78.0667953491,WFDSE
59,7.81452417374,-78.0667953491,WFDSE
60,208.185546875,-78.0667800903,GPWFDSE
61,151.814453125,-78.0667800903,WFDNESE
62,265.206848145,-77.535369873,WFDNESE
63,94.7931365967,-77.535369873,WFDSE
64,310.793243408,-77.535369873,WFDSE
65,49.206741333,-77.535369873,GPWFDSE
66,238.793273926,-77.5353622437,WFDSE
67,121.206726074,-77.5353622437,WFDSE
68,193.206893921,-77.5353240967,WFDSE
69,166.793106079,-77.5353240967,WFDSE
70,337.206787109,-77.5353012085,WFDNESE
71,22.7932090759,-77.5353012085,WFDSE
72,180.0,-76.4613571167,WFDSE
73,324.000061035,-76.4613494873,WFDSE
74,35.9999313354,-76.4613494873,WFDSE
75,252.000091553,-76.4613265991,WFDSE
76,107.999900818,-76.4613265991,WFDSE
77,215.999984741,-75.741973877,SE
78,144.000015259,-75.741973877,SE
79,0.0,-75.741973877,SE
80,288.000091553,-75.7419509888,SE
81,71.9999008179,-75.7419509888,SE
82,203.037811279,-75.5162353516,GPSE
83,156.962188721,-75.5162353516,NESE
84,347.037994385,-75.5162124634,WFDSE
85,12.9620094299,-75.5162124634,WFDSE
86,228.962142944,-75.516204834,NESE
87,131.037857056,-75.516204834,SE
88,275.037902832,-75.5161972046,WFDSE
89,84.962097168,-75.5161972046,WFDSE
90,300.962219238,-75.5161819458,SE
91,59.037776947,-75.5161819458,NESE
92,190.840026855,-74.8316497803,SE
93,169.159973145,-74.8316497803,SE
94,313.160064697,-74.8316421509,SE
95,46.8399429321,-74.8316421509,SE
96,241.159973145,-74.8316345215,SE
97,118.840026855,-74.8316345215,SE
98,262.839996338,-74.8316268921,WFDSE
99,97.1599960327,-74.8316268921,WFDSE
100,334.840148926,-74.8316192627,WFDSE
101,25.1598415375,-74.8316192627,GPSE
102,180.0,-73.6938858032,WFDSE
103,252.00012207,-73.6938552856,WFDSE
104,107.9998703,-73.6938552856,WFDSE
105,324.00012207,-73.6938323975,GPWFDSE
106,35.9998893738,-73.6938323975,WFDSE
107,210.393005371,-73.2938461304,SE
108,149.606994629,-73.2938461304,SE
109,293.606994629,-73.2938156128,NESE
110,66.3930053711,-73.2938156128,SE
111,221.606933594,-73.2937927246,SE
112,138.393066406,-73.2937927246,SE
113,354.393096924,-73.2937850952,SE
114,5.60688877106,-73.2937850952,SE
115,282.393096924,-73.2937774658,SE
116,77.6068954468,-73.2937774658,GPSE
117,199.431274414,-72.8969497681,SE
118,160.568725586,-72.8969497681,SE
119,232.56880188,-72.8969497681,SE
120,127.431190491,-72.8969497681,SE
121,271.431121826,-72.8969116211,SE
122,88.5688781738,-72.8969116211,SE
123,343.431243896,-72.8968887329,SE
124,16.5687503815,-72.8968887329,SE
125,304.568847656,-72.8968734741,SE
126,55.4311447144,-72.8968734741,SE
127,242.811355591,-72.0997238159,WFDSE
128,117.18863678,-72.0997238159,WFDSE
129,314.811126709,-72.0996856689,GPWFDSE
130,45.1888885498,-72.0996856689,WFDSE
131,333.188842773,-72.0996780396,WFDSE
132,26.8111476898,-72.0996780396,WFDSE
133,189.188781738,-72.0996704102,WFDSE
134,170.811218262,-72.0996704102,WFDSE
135,261.188873291,-72.0996627808,WFDSE
136,98.8111114502,-72.0996627808,WFDSE
137,288.0,-70.9331283569,SE
138,72.0000076294,-70.9331283569,SE
139,216.000030518,-70.9331054688,SE
140,143.999969482,-70.9331054688,SE
141,0.0,-70.9330978394,SE
142,180.0,-70.9151611328,WFDSE
143,252.000106812,-70.9151611328,WFDSE
144,107.999893188,-70.9151611328,WFDSE
145,324.000030518,-70.9151306152,WFDSE
