mjd,filter,mag,magerr,limiting_mag,altdata.rh,altdata.delta,altdata.phase
60000.0,ztfr,19.014,0.02,21.5,2.55,1.55,15.0
60000.025,ztfg,19.506,0.02,21.5,2.55,1.55,15.0
60000.05,ztfi,18.88,0.02,21.5,2.55,1.55,15.0
60002.0,ztfr,18.825,0.02,21.5,2.4755,1.4978,13.857
60002.025,ztfg,19.317,0.02,21.5,2.4755,1.4978,13.857
60004.0,ztfr,18.648,0.02,21.5,2.4026,1.4468,12.714
60004.025,ztfg,19.184,0.02,21.5,2.4026,1.4468,12.714
60006.0,ztfr,18.474,0.02,21.5,2.3331,1.3981,11.571
60006.025,ztfg,18.991,0.02,21.5,2.3331,1.3981,11.571
60008.0,ztfr,18.297,0.02,21.5,2.2683,1.3528,10.429
60008.025,ztfg,18.831,0.02,21.5,2.2683,1.3528,10.429
60008.05,ztfi,18.157,0.02,21.5,2.2683,1.3528,10.429
60010.0,ztfr,18.134,0.02,21.5,2.2099,1.3119,9.286
60010.025,ztfg,18.654,0.02,21.5,2.2099,1.3119,9.286
60012.0,ztfr,17.981,0.02,21.5,2.1591,1.2764,8.143
60012.025,ztfg,18.489,0.02,21.5,2.1591,1.2764,8.143
60014.0,ztfr,17.846,0.02,21.5,2.117,1.2469,7.0
60014.025,ztfg,18.384,0.02,21.5,2.117,1.2469,7.0
60016.0,ztfr,17.732,0.02,21.5,2.0846,1.2242,5.857
60016.025,ztfg,18.254,0.02,21.5,2.0846,1.2242,5.857
60016.05,ztfi,17.595,0.02,21.5,2.0846,1.2242,5.857
60018.0,ztfr,17.607,0.02,21.5,2.0625,1.2088,4.714
60018.025,ztfg,18.122,0.02,21.5,2.0625,1.2088,4.714
60020.0,ztfr,17.549,0.02,21.5,2.0514,1.201,3.571
60020.025,ztfg,18.051,0.02,21.5,2.0514,1.201,3.571
60022.0,ztfr,17.531,0.02,21.5,2.0514,1.201,3.571
60022.025,ztfg,18.039,0.02,21.5,2.0514,1.201,3.571
60024.0,ztfr,17.623,0.02,21.5,2.0625,1.2088,4.714
60024.025,ztfg,18.136,0.02,21.5,2.0625,1.2088,4.714
60024.05,ztfi,17.474,0.02,21.5,2.0625,1.2088,4.714
60026.0,ztfr,17.721,0.02,21.5,2.0846,1.2242,5.857
60026.025,ztfg,18.225,0.02,21.5,2.0846,1.2242,5.857
60028.0,ztfr,17.842,0.02,21.5,2.117,1.2469,7.0
60028.025,ztfg,18.322,0.02,21.5,2.117,1.2469,7.0
60030.0,ztfr,17.943,0.02,21.5,2.1591,1.2764,8.143
60030.025,ztfg,18.48,0.02,21.5,2.1591,1.2764,8.143
60032.0,ztfr,18.158,0.02,21.5,2.2099,1.3119,9.286
60032.025,ztfg,18.608,0.02,21.5,2.2099,1.3119,9.286
60032.05,ztfi,18.004,0.02,21.5,2.2099,1.3119,9.286
60034.0,ztfr,18.313,0.02,21.5,2.2683,1.3528,10.429
60034.025,ztfg,18.826,0.02,21.5,2.2683,1.3528,10.429
60036.0,ztfr,18.476,0.02,21.5,2.3331,1.3981,11.571
60036.025,ztfg,18.979,0.02,21.5,2.3331,1.3981,11.571
60038.0,ztfr,18.658,0.02,21.5,2.4026,1.4468,12.714
60038.025,ztfg,19.163,0.02,21.5,2.4026,1.4468,12.714
60040.0,ztfr,18.85,0.02,21.5,2.4755,1.4978,13.857
60040.025,ztfg,19.355,0.02,21.5,2.4755,1.4978,13.857
60040.05,ztfi,18.682,0.02,21.5,2.4755,1.4978,13.857
60042.0,ztfr,18.996,0.02,21.5,2.55,1.55,15.0
60042.025,ztfg,19.505,0.02,21.5,2.55,1.55,15.0
60700.0,ztfr,19.311,0.02,21.5,2.7,1.7,15.0
60700.025,ztfg,19.848,0.02,21.5,2.7,1.7,15.0
60700.05,ztfi,19.228,0.02,21.5,2.7,1.7,15.0
60702.0,ztfr,19.147,0.02,21.5,2.6255,1.6478,13.857
60702.025,ztfg,19.662,0.02,21.5,2.6255,1.6478,13.857
60704.0,ztfr,18.973,0.02,21.5,2.5526,1.5968,12.714
60704.025,ztfg,19.484,0.02,21.5,2.5526,1.5968,12.714
60706.0,ztfr,18.835,0.02,21.5,2.4831,1.5481,11.571
60706.025,ztfg,19.334,0.02,21.5,2.4831,1.5481,11.571
60708.0,ztfr,18.651,0.02,21.5,2.4183,1.5028,10.429
60708.025,ztfg,19.187,0.02,21.5,2.4183,1.5028,10.429
60708.05,ztfi,18.556,0.02,21.5,2.4183,1.5028,10.429
60710.0,ztfr,18.52,0.02,21.5,2.3599,1.4619,9.286
60710.025,ztfg,19.025,0.02,21.5,2.3599,1.4619,9.286
60712.0,ztfr,18.356,0.02,21.5,2.3091,1.4264,8.143
60712.025,ztfg,18.884,0.02,21.5,2.3091,1.4264,8.143
60714.0,ztfr,18.247,0.02,21.5,2.267,1.3969,7.0
60714.025,ztfg,18.727,0.02,21.5,2.267,1.3969,7.0
60716.0,ztfr,18.126,0.02,21.5,2.2346,1.3742,5.857
60716.025,ztfg,18.623,0.02,21.5,2.2346,1.3742,5.857
60716.05,ztfi,17.977,0.02,21.5,2.2346,1.3742,5.857
60718.0,ztfr,18.032,0.02,21.5,2.2125,1.3588,4.714
60718.025,ztfg,18.53,0.02,21.5,2.2125,1.3588,4.714
60720.0,ztfr,17.929,0.02,21.5,2.2014,1.351,3.571
60720.025,ztfg,18.442,0.02,21.5,2.2014,1.351,3.571
60722.0,ztfr,17.936,0.02,21.5,2.2014,1.351,3.571
60722.025,ztfg,18.448,0.02,21.5,2.2014,1.351,3.571
60724.0,ztfr,18.018,0.02,21.5,2.2125,1.3588,4.714
60724.025,ztfg,18.509,0.02,21.5,2.2125,1.3588,4.714
60724.05,ztfi,17.902,0.02,21.5,2.2125,1.3588,4.714
60726.0,ztfr,18.11,0.02,21.5,2.2346,1.3742,5.857
60726.025,ztfg,18.629,0.02,21.5,2.2346,1.3742,5.857
60728.0,ztfr,18.229,0.02,21.5,2.267,1.3969,7.0
60728.025,ztfg,18.738,0.02,21.5,2.267,1.3969,7.0
60730.0,ztfr,18.375,0.02,21.5,2.3091,1.4264,8.143
60730.025,ztfg,18.877,0.02,21.5,2.3091,1.4264,8.143
60732.0,ztfr,18.509,0.02,21.5,2.3599,1.4619,9.286
60732.025,ztfg,19.019,0.02,21.5,2.3599,1.4619,9.286
60732.05,ztfi,18.399,0.02,21.5,2.3599,1.4619,9.286
60734.0,ztfr,18.666,0.02,21.5,2.4183,1.5028,10.429
60734.025,ztfg,19.181,0.02,21.5,2.4183,1.5028,10.429
60736.0,ztfr,18.85,0.02,21.5,2.4831,1.5481,11.571
60736.025,ztfg,19.37,0.02,21.5,2.4831,1.5481,11.571
60738.0,ztfr,18.984,0.02,21.5,2.5526,1.5968,12.714
60738.025,ztfg,19.536,0.02,21.5,2.5526,1.5968,12.714
60740.0,ztfr,18.272,0.02,21.5,2.6255,1.6478,13.857
60740.025,ztfg,18.777,0.02,21.5,2.6255,1.6478,13.857
60740.05,ztfi,18.142,0.02,21.5,2.6255,1.6478,13.857
60742.0,ztfr,18.412,0.02,21.5,2.7,1.7,15.0
60742.025,ztfg,18.932,0.02,21.5,2.7,1.7,15.0
