filter,mjd,flux,zp,magsys,fluxerr
ztfg,59194.5335416999,,23.9,ab,4.42129969377824
ztfg,59335.2557755001,,23.9,ab,5.27460903053682
ztfg,58852.5037615998,,23.9,ab,3.40525536317462
ztfg,59250.3681366001,59.6375391072869,23.9,ab,6.26555038972967
ztfg,59329.3170949002,,23.9,ab,17.242093395894
ztfg,58859.526875,,23.9,ab,12.366011375196
ztfg,59181.5062036999,57.7138720634685,23.9,ab,10.5098256147928
ztfg,58866.4006019002,38.3106929418937,23.9,ab,5.94203507926588
ztfg,58871.4362846999,,23.9,ab,4.38036388601102
ztfg,59325.3223611,,23.9,ab,9.36504205538391
ztfg,58874.3778587999,79.7260112594039,23.9,ab,8.00670089102993
ztfg,58877.3943286999,54.7267638801063,23.9,ab,8.80458091412203
ztfg,58877.3943286999,,23.9,ab,5.01175995588572
ztfg,59219.4410764002,,23.9,ab,13.1691755001433
ztfg,58880.4411690002,34.7440126410478,23.9,ab,6.39822739029598
ztfg,58911.4016898,,23.9,ab,5.13794758804903
ztfg,58912.2896296,,23.9,ab,6.41844293569505
ztfg,59215.4864814999,,23.9,ab,27.6260237928287
ztfg,58567.4949074001,,23.9,ab,17.7431090195897
ztfg,58913.3126852,,23.9,ab,6.83391660287603
ztfg,59323.2593056001,,23.9,ab,5.93841270256336
ztfg,58883.4616204002,42.1618873878765,23.9,ab,9.11574288098814
ztfg,59321.2552546002,,23.9,ab,3.26730811093601
ztfg,58914.2469329001,,23.9,ab,42.9368547175
ztfg,58572.2581019001,,23.9,ab,5.63105711289678
ztfg,58915.2488194001,,23.9,ab,14.0575528808963
ztfg,58886.4621180999,,23.9,ab,8.47364466633142
ztfg,59304.2359028002,,23.9,ab,17.0230954907053
ztfg,59302.3282407001,,23.9,ab,24.3623186636351
ztfg,58891.421331,47.9910360470087,23.9,ab,12.2967350343211
ztfg,59206.4138773,,23.9,ab,22.0982913549024
ztfg,59338.2990509002,,23.9,ab,4.64718507636584
ztfg,59340.2149537001,,23.9,ab,3.54445972336493
ztfg,58789.5173264002,,23.9,ab,12.5138275022958
ztfg,58792.5359838,,23.9,ab,5.42537936973701
ztfg,59270.4161573998,,23.9,ab,21.3244900207155
ztfg,58802.5544906999,,23.9,ab,11.8847557784754
ztfg,58805.5241898,,23.9,ab,9.98136502455942
ztfg,59307.3092824002,,23.9,ab,5.45103607949467
ztfg,58828.5487384,,23.9,ab,12.0367746191985
ztfg,59256.4923032001,,23.9,ab,6.33225732214558
ztfg,58831.5475694002,65.2469310597533,23.9,ab,11.2042258345896
ztfg,59317.1759490999,42.1900423125357,23.9,ab,5.93529064846745
ztfg,58898.3956829002,,23.9,ab,2.88928025542205
ztfg,58899.4216666999,54.5757439241059,23.9,ab,6.62024890503129
ztfg,58900.3295948999,,23.9,ab,3.79760608942211
ztfg,59315.2283218,,23.9,ab,3.70569747416014
ztfg,59248.4637153,,23.9,ab,10.5681481539425
ztfg,58903.3134953999,59.4621030042881,23.9,ab,6.13073977991752
ztfg,58903.3196875001,66.02673903584,23.9,ab,6.41758266941175
ztfg,59304.2359028002,,23.9,ab,10.2138572944232
ztfg,58904.2971180999,,23.9,ab,4.01374832434226
ztfg,58905.3083102,67.0563359561593,23.9,ab,8.71308008323087
ztfg,58906.3092824002,39.6789090449217,23.9,ab,6.90884069388383
ztfg,59302.3282407001,,23.9,ab,14.6173911981811
ztfg,58908.3089468,,23.9,ab,11.2209579436711
ztfg,58909.2842823998,,23.9,ab,8.20559319299129
ztfg,59342.2369213002,-62.1690045604399,23.9,ab,7.55044228005
ztfg,59225.4436690002,,23.9,ab,10.3609371550685
ztfg,58837.5154050998,,23.9,ab,7.82906221363587
ztfg,58846.5209259,84.1317101234992,23.9,ab,6.37750893478333
ztfg,59262.4116318999,66.0790718642049,23.9,ab,5.98833954976905
ztfg,59298.3175231,,23.9,ab,42.6932047579251
ztfg,59317.1759490999,42.1890788072166,23.9,ab,5.93514525925056
ztfg,59296.3177315001,-67.2542961186793,23.9,ab,10.1733516301627
ztfg,58985.1891088001,,23.9,ab,3.41436634135833
ztfg,59296.3177315001,-67.2558320581659,23.9,ab,10.1735904283878
ztfg,58986.2081366,57.4275555803063,23.9,ab,8.26983175769612
ztfg,58991.1734028002,67.5896057683356,23.9,ab,10.1834222070597
ztfg,59296.3177315001,67.2558320581659,23.9,ab,10.1735904283878
ztfg,59293.2971759001,47.4722503564094,23.9,ab,7.56033777353114
ztfg,58995.1879513999,,23.9,ab,3.75517476998106
ztfg,58997.1668866002,56.192676455092,23.9,ab,8.36625528530399
ztfg,58997.1844444,,23.9,ab,4.56152098406198
ztfg,59192.5342244999,,23.9,ab,59.8176997897817
ztfg,59004.187037,,23.9,ab,11.3352161604247
ztfg,59009.2347569,61.9611901335438,23.9,ab,10.1121148689416
ztfg,59014.2040856001,,23.9,ab,4.86844554557558
ztfg,59188.5405671001,,23.9,ab,8.40833997042154
ztfg,59254.4437731002,,23.9,ab,12.61708080415
ztfg,59291.2867824002,,23.9,ab,5.85704691245129
ztfg,59186.5411458002,,23.9,ab,18.8499383175994
ztfg,59152.5458796001,,23.9,ab,12.2967335103119
ztfg,59181.5062036999,57.7131623527822,23.9,ab,10.5097011273819
ztfg,59179.4861458,42.9140786171386,23.9,ab,6.34638429114546
ztfg,59275.2234375002,46.3318854961907,23.9,ab,13.383523520144
ztfg,59165.5169329001,,23.9,ab,4.23555004443312
ztfg,59168.5082522999,,23.9,ab,4.37754068354597
ztfg,59170.4751388999,,23.9,ab,5.53438844589958
ztfg,59173.4878818998,48.4663390433514,23.9,ab,7.47428966864251
ztfg,58980.1928241001,,23.9,ab,2.86411354565691
ztfg,58939.3404513998,,23.9,ab,7.28366362449895
ztfg,58977.1704167002,,23.9,ab,15.6109648341526
ztfg,58974.1902315002,,23.9,ab,31.5667865823813
ztfg,59313.2488773,,23.9,ab,3.89430415037718
ztfg,58894.3193171001,,23.9,ab,4.0591013765271
ztfg,58575.2736458001,81.3280437392463,23.9,ab,9.97064921982916
ztfg,59223.4020254999,48.4877996825512,23.9,ab,7.08851576260741
ztfg,58954.2766898,,23.9,ab,3.89358588509462
ztfg,58580.2065393999,,23.9,ab,3.89574107847052
ztfg,58962.2460069,,23.9,ab,3.55656006966292
ztfg,59017.2188078999,,23.9,ab,4.61051962337716
ztfg,59311.2142130001,,23.9,ab,4.24062766381237
ztfg,59020.2006019,,23.9,ab,4.38439799051636
ztfg,59221.463831,70.6122674503402,23.9,ab,10.5529858217605
