filter,mjd,flux,zp,magsys,fluxerr,ra_unc,dec_unc,ra,dec
ztfg,59057.43321759999,,23.9,ab,3.2546935121423743,,,,
ztfr,59057.45054400014,,23.9,ab,3.404316299132843,,,,
ztfg,59059.42708329996,,23.9,ab,3.208263396674975,,,,
ztfr,59059.443113400135,,23.9,ab,3.5032379100245876,,,,
ztfr,59060.43341440009,,23.9,ab,3.233180879347619,,,,
ztfg,59060.490011599846,,23.9,ab,3.8025060407518945,,,,
ztfr,59061.3504745001,,23.9,ab,5.7088681813446005,,,,
ztfg,59061.47100690007,,23.9,ab,3.8000552753116295,,,,
ztfg,59062.44184029987,,23.9,ab,5.2276916581108654,,,,
ztfr,59062.47884259978,,23.9,ab,3.9383075519568367,,,,
ztfr,59063.35385419987,,23.9,ab,8.5347323819223,,,,
ztfr,59064.35178240016,,23.9,ab,10.930249948193111,,,,
ztfg,59087.391018500086,,23.9,ab,1.22233335695225,,,,
ztfg,59087.39864580007,16.626474511588025,23.9,ab,1.1638143935962038,,,6.7855741,34.0273043
ztfr,59087.41094909981,,23.9,ab,1.5432283863615173,,,,
ztfr,59087.41813659994,19.109100054161136,23.9,ab,1.3777799009632696,,,6.7856144,34.0273218
ztfr,59065.36952550011,,23.9,ab,11.489728878400172,,,,
ztfr,59065.45200229995,,23.9,ab,8.689408226101051,,,,
ztfg,59065.46953700017,,23.9,ab,11.322697833422612,,,,
ztfg,59066.36754629994,,23.9,ab,10.666693412503674,,,,
ztfg,59067.416805599816,,23.9,ab,8.541812128870774,,,,
ztfr,59068.3967708,,23.9,ab,6.5029403241259285,,,,
ztfr,59068.399108800106,,23.9,ab,6.442731079454106,,,,
ztfg,59068.46515050018,,23.9,ab,7.523673292722968,,,,
ztfr,59069.427812499925,,23.9,ab,5.298951423729849,,,,
ztfg,59071.47462960007,,23.9,ab,5.4014429449148675,,,,
ztfg,59072.37843749998,,23.9,ab,5.574296435812958,,,,
ztfg,59072.38084489992,,23.9,ab,6.02822833709097,,,,
ztfr,59072.464560199995,,23.9,ab,4.83537445300958,,,,
ztfr,59072.505590300076,,23.9,ab,7.516750726753239,,,,
ztfg,59073.383888899814,,23.9,ab,4.730533835286641,,,,
ztfr,59074.40203699982,,23.9,ab,18.9683612686531,,,,
ztfg,59074.44337960007,,23.9,ab,59.762661252508565,,,,
ztfg,59074.44908560021,,23.9,ab,71.4677541608169,,,,
ztfr,59075.326747700106,,23.9,ab,4.149826743304301,,,,
ztfg,59075.36076389998,,23.9,ab,3.6096917775013617,,,,
