filter,mjd,flux,zp,magsys,fluxerr
ztfg,59267.3795602,,23.9,ab,8.28686134956073
ztfg,59363.2316088001,58.0978831606501,23.9,ab,6.89601100509816
ztfg,59365.2850810001,62.6748572213259,23.9,ab,7.21685621659414
ztfg,59371.1919792001,49.7828344806456,23.9,ab,5.74934247305104
ztfg,59369.2107986002,47.5793681838395,23.9,ab,5.07776160126744
ztfg,59371.1919792001,49.7839714105616,23.9,ab,5.74948265769306
ztfg,59373.2599653001,47.2182407586345,23.9,ab,5.51776777730127
ztfg,59365.2850810001,62.6728753988277,23.9,ab,7.2166357559619
ztfg,59375.2777431002,55.4751922446531,23.9,ab,8.67147955980332
ztfg,59363.2316088001,58.097372850545,23.9,ab,6.89592810714424
ztfg,59358.3894329001,,23.9,ab,43.4268677391885
ztfg,59325.3503240999,206.40649453675,23.9,ab,13.2191897655584
ztfg,59334.2316319002,136.022479528545,23.9,ab,8.83734289849861
ztfg,59336.2759374999,128.739664149652,23.9,ab,8.33656134099864
ztfg,59336.2759374999,128.741925781697,23.9,ab,8.3367016092057
ztfg,59341.2967707999,105.347530394352,23.9,ab,8.37599023826968
ztfg,59343.2707407,98.3496519085455,23.9,ab,6.05532657138588
ztfg,59345.1756250002,92.1567780516413,23.9,ab,6.81144773570809
ztfg,59348.2689236002,87.0750021096497,23.9,ab,6.30228497067495
ztfg,59345.2436921,99.3099230236183,23.9,ab,3.63980718233186
ztfg,59354.2979398002,80.8201558976884,23.9,ab,16.9238034486202
ztfg,59358.3894329001,,23.9,ab,26.0561206435131
ztfg,59363.2316088001,58.097372850545,23.9,ab,6.89592810714423
ztfg,59317.2751735998,306.393968948329,23.9,ab,11.5244537995851
ztfg,59321.3617707999,264.386842155653,23.9,ab,9.89597320452229
ztfg,59303.3574999999,434.302529075706,23.9,ab,19.3472990026776
ztfg,59311.2759374999,374.972949547291,23.9,ab,21.0433040831378
ztfg,59313.2759606,347.557945773794,23.9,ab,17.7002279207987
ztfg,59273.3977894001,,23.9,ab,46.7087632337884
ztfg,59271.4209491001,,23.9,ab,28.186346043862
ztfg,59313.2759606,347.568325559572,23.9,ab,17.7008400148459
ztfg,59276.4390624999,,23.9,ab,14.8305913881109
ztfg,59269.4347106,,23.9,ab,11.3720469802845
ztfg,59267.3795602,,23.9,ab,13.8114355826012
ztfg,59265.4201968,,23.9,ab,8.39379691105554
ztfg,59297.3000115999,339.9767984075,23.9,ab,20.413593249651
ztfg,59315.2904397999,328.495357212176,23.9,ab,28.8748194506162
ztfg,59315.2904397999,328.488432341509,23.9,ab,28.8740687403974
ztfg,59305.3338079001,426.648168112021,23.9,ab,16.4441877082024
ztfg,59311.2759374999,374.969655924961,23.9,ab,21.04326591509
ztfg,59309.3330671,392.572874600967,23.9,ab,16.7129877241185
ztfg,59303.3574999999,434.31015867862,23.9,ab,19.34749881008
ztfg,59305.3338079001,426.657911813258,23.9,ab,16.4444681026879
ztfg,59300.3396644001,410.242182266623,23.9,ab,20.5779256749917
ztfg,59300.3396644001,410.258037664667,23.9,ab,20.5788955365125
ztfg,59307.3193171001,406.24040039219,23.9,ab,15.3531628039195
ztfg,59297.3000115999,339.969631501463,23.9,ab,20.4131535875786
ztfg,59307.3193171001,406.256101125875,23.9,ab,15.3539262437579
ztfg,59294.2687730999,53.7180500180486,23.9,ab,9.77010495003175
ztfg,59291.2987616002,,23.9,ab,6.69758831014984
ztfg,59309.3330671,392.568736748405,23.9,ab,16.7126741745915
ztfg,59280.3775463002,,23.9,ab,10.5730134121686
ztfg,59317.2751735998,306.39289244542,23.9,ab,11.5243334123195
ztfg,59321.3617707999,264.390093375298,23.9,ab,9.89612392627551
ztfg,59273.3977894001,,23.9,ab,28.025257940273
ztfg,59271.4209491001,,23.9,ab,16.9118076263172
ztfg,59269.4347106,,23.9,ab,6.82322818817067
ztfg,59276.4390624999,,23.9,ab,8.89835483286653
ztfg,59291.2987616002,,23.9,ab,4.01855298608991
ztfg,59280.3775463002,,23.9,ab,6.34380804730114
ztfg,59377.3105323999,39.8238813373217,23.9,ab,6.53250107796662
ztfg,59348.2689236002,87.0722487376299,23.9,ab,6.30208210298559
ztfg,59383.2595718,,23.9,ab,14.4833750969411
ztfg,59390.2130093002,,23.9,ab,10.5893601059097
ztfg,59381.2762962999,,23.9,ab,32.56258191554
ztfg,59383.2595718,,23.9,ab,24.1389584949018
ztfg,59390.2130093002,,23.9,ab,17.6489335098494
ztfg,59387.2753935,,23.9,ab,32.7731979375929
ztfg,59392.2151042,,23.9,ab,4.54140382490159
ztfg,59394.1966666998,17.0357012693442,23.9,ab,5.52117496692529
ztfg,59392.2151042,,23.9,ab,7.56900637483599
ztfg,59396.2372685,,23.9,ab,4.92617278313049
ztfg,59393.2918286999,,23.9,ab,21.8232253325261
ztfg,59396.2372685,,23.9,ab,8.21028797188415
ztfg,59399.2376967999,,23.9,ab,5.50541389850911
ztfg,59401.2133217999,,23.9,ab,6.86104239826019
ztfg,59397.2349883998,,23.9,ab,8.59169495259226
ztfg,59399.2376967999,,23.9,ab,9.17568983084852
ztfg,59401.2133217999,,23.9,ab,11.435070663767
ztfg,59381.2762962999,,23.9,ab,19.537549149324
ztfg,59379.1919212998,42.6540252765582,23.9,ab,4.6926504968661
ztfg,59377.3105323999,39.8254204854581,23.9,ab,6.53273551453107
ztfg,59369.2107986002,47.5773622042052,23.9,ab,5.07755404901014
ztfg,59373.2599653001,47.2193191188978,23.9,ab,5.51791323273594
ztfg,59379.1919212998,42.6555239375711,23.9,ab,4.69282942463716
ztfg,59377.3105323999,39.8238813373217,23.9,ab,6.53250107796663
ztfr,59345.1964004999,268.654445132361,23.9,ab,12.0022323589049
ztfr,59401.2797685,56.7519002400913,23.9,ab,9.96471997210239
ztfr,59307.341331,460.762873480106,23.9,ab,19.2225118729195
ztfr,59346.2534953998,236.006210403827,23.9,ab,4.52580328783019
ztfr,59317.3183565,413.923287652194,23.9,ab,15.9505930528791
ztfr,59345.2965393998,,23.9,ab,3.01938532686756
ztfr,59401.2797685,56.7544924456426,23.9,ab,9.96518602662239
ztfr,59343.3064930998,261.8777508431,23.9,ab,13.7669327696362
ztfr,59315.3386458,465.239624763746,23.9,ab,29.1024188968452
ztfr,59309.3898032,446.285297234879,23.9,ab,16.0448248866633
ztfr,59392.1955439998,83.2384714951004,23.9,ab,7.62459528283752
ztfr,59403.1929861,48.9212480619578,23.9,ab,6.42498315243016
ztfr,59291.3752778,,23.9,ab,8.84950787444537
ztfr,59375.2119443999,183.003956738406,23.9,ab,9.74810057481706
ztfr,59371.2146644001,192.663794690476,23.9,ab,10.2124199700924
ztfr,59297.2900116001,302.287951399192,23.9,ab,17.4287819840864
ztfr,59371.2146644001,192.660748584922,23.9,ab,10.2123014746404
ztfr,59375.2119443999,183.012315645695,23.9,ab,9.74853201543221
ztfr,59303.3378125001,460.093954817607,23.9,ab,18.1495269953259
ztfr,59311.3319791998,442.649862093186,23.9,ab,18.84390311848
ztfr,59321.3114699,408.656861391638,23.9,ab,19.0456190474525
ztfr,59305.3386690002,453.211863376778,23.9,ab,17.9585823745901
ztfr,59313.3409838001,435.351328695531,23.9,ab,16.6828218913348
ztfr,59348.3176620002,246.094114167496,23.9,ab,12.0458517153378
ztfr,59399.1877545999,54.9237244000057,23.9,ab,6.58779419386281
ztfr,59354.2361921002,234.005587148465,23.9,ab,12.3130488969128
ztfr,59394.3060301002,84.0393877205291,23.9,ab,13.1159015072293
ztfr,59386.1916204002,,23.9,ab,12.7159759488125
ztfr,59387.2130555999,112.451504685387,23.9,ab,12.7154364175284
ztfr,59334.2748611001,320.168702300218,23.9,ab,14.301543024475
ztfr,59390.2877545999,100.842757871695,23.9,ab,12.5298946348362
ztfr,59336.3154167002,298.180904558039,23.9,ab,12.7457998185024
ztfr,59386.1916204002,,23.9,ab,21.1932932480208
ztfr,59339.2536690002,276.746160304601,23.9,ab,13.2581213961527
ztfr,59341.2317940001,279.500309866658,23.9,ab,16.0619920348875
ztfr,59390.2877545999,100.841694954486,23.9,ab,12.5297916294443
ztfr,59392.1955439998,83.2377403594579,23.9,ab,7.62454373356521
ztfr,59393.1918866001,78.7783186957946,23.9,ab,8.21520965653509
ztfr,59350.2712269002,240.550722159017,23.9,ab,11.7953697310498
ztfr,59381.1982638999,156.862875568934,23.9,ab,12.855045517019
ztfr,59379.2293170998,169.667989851771,23.9,ab,8.0171193696335
ztfr,59358.3110068999,241.438937930919,23.9,ab,18.2843086497393
ztfr,59323.3392476998,401.594861222051,23.9,ab,19.14591348414
ztfr,59361.2120718001,222.478425759467,23.9,ab,10.8817403655574
ztfr,59325.2967940001,378.844377290051,23.9,ab,12.1883822657685
ztfr,59399.1877545999,54.9238208864102,23.9,ab,6.58780425926711
ztfr,59397.2062269002,65.5456284294735,23.9,ab,7.30817353291779
ztfr,59396.1921990998,69.6947513893977,23.9,ab,8.33568186139656
ztfr,59367.2136574001,198.542039144055,23.9,ab,13.9748631772362
ztfr,59396.1921990998,69.6923027310043,23.9,ab,8.33537560432611
ztfr,59379.2293170998,169.66948016511,23.9,ab,8.01717348926031
ztfr,59394.3060301002,84.0387971835371,23.9,ab,13.1157920421769
ztfr,59381.1982638999,156.857088785648,23.9,ab,12.8545885074789
ztfr,59280.4200116,,23.9,ab,12.8374396718499
ztfr,59348.3176620002,246.104922446194,23.9,ab,12.0464305810928
ztfr,59350.2712269002,240.546918938531,23.9,ab,11.7952013982787
ztfr,59265.3730556001,,23.9,ab,8.63930997425102
ztfr,59354.2361921002,234.012986801575,23.9,ab,12.3134535119817
ztfr,59269.3715741001,,23.9,ab,21.3657749743293
ztfr,59358.3110068999,241.434696530649,23.9,ab,18.2838930094762
ztfr,59361.2120718001,222.474517441847,23.9,ab,10.8815652341794
ztfr,59273.4453008999,,23.9,ab,36.5055356896524
ztfr,59276.3794328999,,23.9,ab,16.6601456590566
ztfr,59367.2136574001,198.536458656813,23.9,ab,13.974437683393
ztfr,59303.3378125001,460.086680514964,23.9,ab,18.1494484195493
ztfr,59269.3715741001,,23.9,ab,12.8194649845976
ztfr,59273.4453008999,,23.9,ab,21.9033214137915
ztfr,59276.3794328999,,23.9,ab,9.99608739543394
ztfr,59297.2900116001,302.301227671306,23.9,ab,17.4294229760275
ztfr,59280.4200116,,23.9,ab,7.70246380310991
ztfr,59291.3752778,,23.9,ab,5.30970472466722
ztfr,59321.3114699,408.658297196158,23.9,ab,19.0456200624057
ztfr,59343.3064930998,261.866709892896,23.9,ab,13.7662966393207
ztfr,59345.1964004999,268.658220791952,23.9,ab,12.0024876868794
ztfr,59313.3409838001,435.351328695531,23.9,ab,16.6828995659337
ztfr,59315.3386458,465.242893982461,23.9,ab,29.1027415247656
ztfr,59341.2317940001,279.511603265495,23.9,ab,16.0626928185578
ztfr,59341.2317940001,279.500309866658,23.9,ab,16.0619920348874
ztfr,59323.3392476998,401.606149299891,23.9,ab,19.1463978994515
ztfr,59325.2967940001,378.861015866014,23.9,ab,12.1889591682137
ztfr,59334.2748611001,320.154641335772,23.9,ab,14.3010610374491
ztfr,59317.3183565,413.92765059141,23.9,ab,15.9506305177367
ztfr,59336.3154167002,298.185095181394,23.9,ab,12.7459942941285
ztfr,59339.2536690002,276.745187968078,23.9,ab,13.2581935074902
ztfr,59307.341331,460.765301798556,23.9,ab,19.2227396549026
ztfr,59311.3319791998,442.670080613183,23.9,ab,18.8449582477961
ztfr,59305.3386690002,453.231768119908,23.9,ab,17.9591844917076
ztfr,59309.3898032,446.272753345342,23.9,ab,16.0442391625049
ztfi,59335.3719213,267.809092216646,23.9,ab,38.5004984482842
