wavelengths,fluxes
4020,1.21168
4029.2,1.51739
4038.4,1.48452
4047.6,1.40311
4056.8,1.16261
4066,1.30361
4075.2,1.57146
4084.4,1.88292
4093.6,1.66711
4102.8,1.54297
4112,1.60279
4121.2,1.51906
4130.4,1.68165
4139.6,1.84484
4148.8,1.59201
4158,1.49782
4167.2,1.83125
4176.4,1.69839
4185.6,1.5311
4194.8,1.35149
4204,1.56808
4213.2,1.54502
4222.4,1.5953
4231.6,1.42531
4240.8,1.47861
4250,1.32457
4259.2,1.38321
4268.4,1.3182
4277.6,1.35851
4286.8,1.45758
4296,1.44409
4305.2,1.45797
4314.4,1.56581
4323.6,1.39934
4332.8,1.45748
4342,1.34351
4351.2,1.5589
4360.4,1.43323
4369.6,1.47324
4378.8,1.33725
4388,1.53754
4397.2,1.54906
4406.4,1.61442
4415.6,1.48996
4424.8,1.44489
4434,1.3718
4443.2,1.38716
4452.4,1.49082
4461.6,1.49999
4470.8,1.35002
4480,1.37566
4489.2,1.37465
4498.4,1.36851
4507.6,1.40319
4516.8,1.35963
4526,1.33739
4535.2,1.30897
4544.4,1.32538
4553.6,1.30316
4562.8,1.28525
4572,1.20458
4581.2,1.38105
4590.4,1.2222
4599.6,1.29667
4608.8,1.39901
4618,1.36185
4627.2,1.32941
4636.4,1.30464
4645.6,1.37053
4654.8,1.32686
4664,1.3223
4673.2,1.28829
4682.4,1.28925
4691.6,1.24538
4700.8,1.19742
4710,1.28551
4719.2,1.19157
4728.4,1.19769
4737.6,1.23966
4746.8,1.16242
4756,1.10096
4765.2,1.1493
4774.4,1.10535
4783.6,1.166
4792.8,1.17062
4802,1.07289
4811.2,1.06631
4820.4,1.20167
4829.6,1.13447
4838.8,1.13091
4848,1.13628
4857.2,1.09302
4866.4,1.17981
4875.6,1.18736
4884.8,1.19058
4894,1.23277
4903.2,1.24189
4912.4,1.32894
4921.6,1.27274
4930.8,1.2344
4940,1.30388
4949.2,1.16718
4958.4,1.22694
4967.6,1.21856
4976.8,1.2844
4986,1.26951
4995.2,1.1759
5004.4,1.1717
5013.6,1.26139
5022.8,1.2052
5032,1.17695
5041.2,1.25861
5050.4,1.18754
5059.6,1.16945
5068.8,1.30759
5078,1.21365
5087.2,1.21563
5096.4,1.17274
5105.6,1.11737
5114.8,1.14068
5124,1.08768
5133.2,1.18668
5142.4,1.14264
5151.6,1.11156
5160.8,1.21895
5170,1.12519
5179.2,1.09749
5188.4,1.14192
5197.6,1.17364
5206.8,1.12621
5216,1.09942
5225.2,1.12826
5234.4,1.09378
5243.6,1.05628
5252.8,1.06311
5262,1.02923
5271.2,1.12544
5280.4,1.0807
5289.6,1.15138
5298.8,1.12164
5308,1.10864
5317.2,1.04502
5326.4,1.05307
5335.6,1.08753
5344.8,1.04444
5354,1.04047
5363.2,1.07058
5372.4,1.0211
5381.6,1.00186
5390.8,0.998986
5400,1.01358
5409.2,1.03136
5418.4,1.01849
5427.6,0.981342
5436.8,0.92483
5446,0.976042
5455.2,0.937798
5464.4,0.937496
5473.6,1.0242
5482.8,0.951022
5492,1.00064
5501.2,0.990602
5510.4,1.03773
5519.6,1.02532
5528.8,1.00803
5538,0.986843
5547.2,0.929996
5556.4,0.92687
5565.6,0.923431
5574.8,0.908201
5584,0.904647
5593.2,0.872313
5602.4,0.952677
5611.6,0.853507
5620.8,0.873418
5630,0.856805
5639.2,0.835736
5648.4,0.968382
5657.6,0.888603
5666.8,0.97626
5676,0.934895
5685.2,0.873654
5694.4,0.826395
5703.6,0.900558
5712.8,0.875019
5722,0.901343
5731.2,0.887521
5740.4,0.850813
5749.6,0.917177
5758.8,0.862361
5768,0.875514
5777.2,0.864448
5786.4,0.830615
5795.6,0.887063
5804.8,0.828893
5814,0.920362
5823.2,0.794278
5832.4,0.85645
5841.6,0.807861
5850.8,0.803905
5860,0.892269
5869.2,0.922101
5878.4,0.844788
5887.6,0.8665
5896.8,0.875313
5906,0.86752
5915.2,0.900316
5924.4,0.90593
5933.6,0.921526
5942.8,0.887925
5952,0.98863
5961.2,0.997041
5970.4,0.995013
