,ID,RA,Dec,Ebv,Gal Long,Gal Lat,Ecl Long,Ecl Lat,Entry
0,1.0,0.0,-89.05,0.09,303.229,-28.3282,272.3871,-66.5426,0.0
1,2.0,90.0,-89.05,0.16,301.9524,-27.5977,270.0,-67.5107,1.0
2,3.0,180.0,-89.05,0.11,302.7748,-26.4715,267.6129,-66.5426,2.0
3,4.0,270.0,-89.05,0.15,304.0438,-27.1945,270.0,-65.6107,3.0
4,5.0,16.36364,-81.85,0.14,302.284,-35.5272,290.8515,-67.5335,4.0
5,6.0,49.09091,-81.85,0.14,297.129,-33.7989,287.4431,-71.9586,5.0
6,7.0,81.81818,-81.85,0.15,294.1791,-29.9662,274.3534,-74.5865,6.0
7,8.0,114.54545,-81.85,0.13,294.1806,-25.3882,257.9317,-73.64,7.0
8,9.0,147.27273,-81.85,0.13,296.8174,-21.5011,249.7598,-69.8349,8.0
9,10.0,180.0,-81.85,0.24,301.1723,-19.424,250.1996,-65.2599,9.0
10,11.0,212.72727,-81.85,0.16,306.0202,-19.7334,255.5878,-61.3696,10.0
11,12.0,245.45455,-81.85,0.16,310.0501,-22.344,263.4395,-58.9726,11.0
12,13.0,278.18182,-81.85,0.19,312.0935,-26.5272,272.2113,-58.4735,12.0
13,14.0,310.90909,-81.85,0.15,311.3498,-31.0586,280.6844,-59.9511,13.0
14,15.0,343.63636,-81.85,0.24,307.7239,-34.4747,287.5384,-63.1673,14.0
15,16.0,10.58824,-74.65,0.05,303.5989,-42.7423,307.5122,-64.7025,15.0
16,17.0,31.76471,-74.65,0.03,296.1977,-41.7054,311.3504,-70.0826,16.0
17,18.0,52.94118,-74.65,0.06,290.2668,-38.461,310.0511,-75.6458,17.0
18,19.0,74.11765,-74.65,0.09,286.7077,-33.6829,295.7801,-80.4118,18.0
19,20.0,95.29412,-74.65,0.09,285.6564,-28.1801,260.2236,-81.7298,19.0
20,21.0,116.47059,-74.65,0.14,286.8492,-22.7089,234.6236,-78.2403,20.0
21,22.0,137.64706,-74.65,0.16,289.8922,-17.9178,228.3517,-72.8801,21.0
22,23.0,158.82353,-74.65,0.28,294.3435,-14.3378,230.1606,-67.3375,22.0
23,24.0,180.0,-74.65,0.25,299.7037,-12.3637,235.3903,-62.2211,23.0
24,25.0,201.17647,-74.65,0.14,305.4087,-12.2168,242.3582,-57.8561,24.0
25,26.0,222.35294,-74.65,0.2,310.8617,-13.9139,250.3281,-54.4703,25.0
26,27.0,243.52941,-74.65,0.11,315.4904,-17.2639,258.8924,-52.2317,26.0
27,28.0,264.70588,-74.65,0.15,318.7849,-21.897,267.7635,-51.2518,27.0
28,29.0,285.88235,-74.65,0.1,320.2955,-27.3015,276.6945,-51.5798,28.0
29,30.0,307.05882,-74.65,0.06,319.6193,-32.8468,285.4445,-53.1992,29.0
30,31.0,328.23529,-74.65,0.07,316.4596,-37.7921,293.7523,-56.029,30.0
31,32.0,349.41176,-74.65,0.06,310.864,-41.3286,301.2852,-59.9289,31.0
32,33.0,7.82609,-67.45,0.02,305.63,-49.8598,319.941,-60.2395,32.0
33,34.0,23.47826,-67.45,0.02,296.4148,-49.3732,327.1415,-65.2454,33.0
34,35.0,39.13043,-67.45,0.03,288.3342,-46.7772,333.9641,-70.666,34.0
35,36.0,54.78261,-67.45,0.05,282.4051,-42.5244,340.1314,-76.3996,35.0
36,37.0,70.43478,-67.45,0.09,278.8532,-37.1931,344.4086,-82.338,36.0
37,38.0,86.08696,-67.45,0.32,277.4592,-31.3183,328.0194,-88.232,37.0
38,39.0,101.73913,-67.45,0.11,277.8929,-25.3439,196.3433,-85.3362,38.0
39,40.0,117.3913,-67.45,0.12,279.8563,-19.6385,197.3046,-79.3509,39.0
40,41.0,133.04348,-67.45,0.12,283.1053,-14.5198,202.8361,-73.5001,40.0
41,42.0,148.69565,-67.45,0.14,287.4225,-10.2691,209.39,-67.9102,41.0
42,43.0,164.34783,-67.45,0.16,292.5803,-7.1304,216.4191,-62.6843,42.0
43,44.0,180.0,-67.45,0.25,298.3127,-5.2959,223.7698,-57.9231,43.0
44,45.0,195.65217,-67.45,0.28,304.3088,-4.8845,231.3829,-53.7244,44.0
45,46.0,211.30435,-67.45,0.4,310.2309,-5.9236,239.2239,-50.1815,45.0
46,47.0,226.95652,-67.45,0.18,315.7493,-8.3444,247.2598,-47.3793,46.0
47,48.0,242.6087,-67.45,0.12,320.5716,-11.9937,255.4501,-45.3893,47.0
48,49.0,258.26087,-67.45,0.1,324.451,-16.6541,263.745,-44.2654,48.0
49,50.0,273.91304,-67.45,0.09,327.1686,-22.0645,272.0863,-44.039,49.0
50,51.0,289.56522,-67.45,0.06,328.4998,-27.9283,280.412,-44.7166,50.0
51,52.0,305.21739,-67.45,0.06,328.1788,-33.9085,288.6615,-46.2789,51.0
52,53.0,320.86957,-67.45,0.03,325.8861,-39.6069,296.7802,-48.683,52.0
53,54.0,336.52174,-67.45,0.03,321.3113,-44.5399,304.7231,-51.8654,53.0
54,55.0,352.17391,-67.45,0.04,314.3776,-48.1415,312.4541,-55.7475,54.0
55,56.0,6.2069,-60.25,0.01,308.4882,-56.8923,329.0241,-54.8749,55.0
56,57.0,18.62069,-60.25,0.02,297.219,-56.8638,336.9612,-59.2697,56.0
57,58.0,31.03448,-60.25,0.02,286.9279,-54.7487,345.415,-63.9379,57.0
58,59.0,43.44828,-60.25,0.02,278.9314,-50.9304,354.8827,-68.7958,58.0
59,60.0,55.86207,-60.25,0.03,273.5199,-45.9319,6.4481,-73.7253,59.0
60,61.0,68.27586,-60.25,0.03,270.3892,-40.2206,22.9002,-78.4991,60.0
61,62.0,80.68966,-60.25,0.02,269.104,-34.1553,52.3144,-82.4542,61.0
62,63.0,93.10345,-60.25,0.04,269.297,-28.0067,103.8147,-83.5402,62.0
63,64.0,105.51724,-60.25,0.1,270.7051,-21.9895,144.8925,-80.6611,63.0
64,65.0,117.93103,-60.25,0.17,273.1504,-16.2884,166.2475,-76.1552,64.0
65,66.0,130.34483,-60.25,0.16,276.5093,-11.074,179.7076,-71.2616,65.0
66,67.0,142.75862,-60.25,0.27,280.6833,-6.5103,190.0249,-66.3493,66.0
