observation_id,field_id,filter,obstime,limmag,exposure_time
2,819,ztfr,2019-04-25T08:18:18.002869,20.46240,30
3,790,ztfr,2019-04-25T08:18:58.999669,20.95360,30
4,756,ztfr,2019-04-25T08:19:38.000624,21.05510,30
5,716,ztfr,2019-04-25T08:20:17.001620,20.80920,30
6,717,ztfr,2019-04-25T08:20:56.996173,21.01210,30
7,718,ztfr,2019-04-25T08:21:36.999376,21.04400,30
8,757,ztfr,2019-04-25T08:22:16.000331,20.91480,30
9,791,ztfr,2019-04-25T08:22:56.003534,20.87950,30
10,821,ztfr,2019-04-25T08:23:34.002241,20.81360,30
11,792,ztfr,2019-04-25T08:24:13.996794,20.86410,30
12,758,ztfr,2019-04-25T08:24:52.997749,21.20730,30
13,719,ztfr,2019-04-25T08:25:31.998704,21.12190,30
14,823,ztfr,2019-04-25T08:26:17.998093,21.00780,30
15,846,ztfr,2019-04-25T08:26:55.996800,20.97610,30
16,824,ztfr,2019-04-25T08:27:40.000303,21.11930,30
17,795,ztfr,2019-04-25T08:28:19.001299,21.08850,30
18,825,ztfr,2019-04-25T08:29:41.997107,20.81390,30
19,796,ztfr,2019-04-25T08:30:20.998062,20.92140,30
20,587,ztfr,2019-04-25T08:31:17.002546,20.42970,30
21,635,ztfr,2019-04-25T08:31:56.003501,20.65290,30
22,681,ztfr,2019-04-25T08:32:34.995847,20.68680,30
23,682,ztfr,2019-04-25T08:33:14.999050,20.82510,30
24,683,ztfr,2019-04-25T08:33:55.002252,20.77080,30
25,684,ztfr,2019-04-25T08:34:34.003208,20.66730,30
26,726,ztfr,2019-04-25T08:35:13.004163,20.67330,30
27,765,ztfr,2019-04-25T08:35:51.996468,20.49130,30
28,766,ztfr,2019-04-25T08:36:33.001918,20.61570,30
29,827,ztfr,2019-04-25T08:37:15.000966,20.73180,30
30,798,ztfr,2019-04-25T08:37:54.001922,20.88540,30
31,764,ztfr,2019-04-25T08:38:33.002877,20.99390,30
32,725,ztfr,2019-04-25T08:39:12.003832,20.91770,30
33,763,ztfr,2019-04-25T08:39:50.996177,20.96270,30
34,797,ztfr,2019-04-25T08:40:29.997133,20.97110,30
35,825,ztfr,2019-04-25T08:42:28.002246,20.88210,30
36,796,ztfr,2019-04-25T08:43:07.003201,20.92560,30
37,824,ztfr,2019-04-25T08:43:49.002249,21.05960,30
38,847,ztfr,2019-04-25T08:44:28.003204,20.96240,30
39,846,ztfr,2019-04-25T08:45:11.998098,20.94860,30
