field,filter
245,ztfg
245,ztfr
246,ztfg
246,ztfr
247,ztfg
247,ztfr
248,ztfg
248,ztfr
249,ztfg
249,ztfr
250,ztfg
250,ztfr
251,ztfg
251,ztfr
252,ztfg
252,ztfr
253,ztfg
253,ztfr
254,ztfg
254,ztfr
255,ztfg
255,ztfr
256,ztfg
256,ztfr
257,ztfg
257,ztfr
258,ztfg
258,ztfr
259,ztfg
259,ztfr
260,ztfg
260,ztfr
261,ztfg
261,ztfr
262,ztfg
262,ztfr
263,ztfg
263,ztfr
264,ztfg
264,ztfr
265,ztfg
265,ztfr
266,ztfg
266,ztfr
267,ztfg
267,ztfr
268,ztfg
268,ztfr
269,ztfg
269,ztfr
270,ztfg
270,ztfr
271,ztfg
271,ztfr
272,ztfg
272,ztfr
273,ztfg
273,ztfr
274,ztfg
274,ztfr
275,ztfg
275,ztfr
276,ztfg
276,ztfr
277,ztfg
277,ztfr
278,ztfg
278,ztfr
279,ztfg
279,ztfr
280,ztfg
280,ztfr
281,ztfg
281,ztfr
282,ztfg
282,ztfr
283,ztfg
283,ztfr
284,ztfg
284,ztfr
285,ztfg
285,ztfr
286,ztfg
286,ztfr
287,ztfg
287,ztfr
288,ztfg
288,ztfr
289,ztfg
289,ztfr
290,ztfg
290,ztfr
291,ztfg
291,ztfr
292,ztfg
292,ztfr
292,ztfi
293,ztfg
293,ztfr
293,ztfi
294,ztfg
294,ztfr
294,ztfi
295,ztfg
295,ztfr
295,ztfi
296,ztfg
296,ztfr
296,ztfi
297,ztfg
297,ztfr
297,ztfi
298,ztfg
298,ztfr
298,ztfi
299,ztfg
299,ztfr
299,ztfi
300,ztfg
300,ztfr
300,ztfi
301,ztfg
301,ztfr
301,ztfi
302,ztfg
302,ztfr
302,ztfi
303,ztfg
303,ztfr
303,ztfi
304,ztfg
304,ztfr
304,ztfi
305,ztfg
305,ztfr
305,ztfi
306,ztfg
306,ztfr
307,ztfg
307,ztfr
308,ztfg
308,ztfr
309,ztfg
309,ztfr
309,ztfi
310,ztfg
310,ztfr
311,ztfg
311,ztfr
311,ztfi
312,ztfg
312,ztfr
312,ztfi
313,ztfg
313,ztfr
313,ztfi
314,ztfg
314,ztfr
314,ztfi
315,ztfg
315,ztfr
315,ztfi
316,ztfg
316,ztfr
316,ztfi
317,ztfg
317,ztfr
317,ztfi
318,ztfg
318,ztfr
318,ztfi
319,ztfg
319,ztfr
319,ztfi
320,ztfg
320,ztfr
320,ztfi
321,ztfg
321,ztfr
321,ztfi
322,ztfg
322,ztfr
322,ztfi
323,ztfg
323,ztfr
323,ztfi
324,ztfg
324,ztfr
324,ztfi
325,ztfg
325,ztfr
326,ztfg
326,ztfr
326,ztfi
327,ztfg
327,ztfr
328,ztfg
328,ztfr
329,ztfg
329,ztfr
330,ztfg
330,ztfr
331,ztfg
331,ztfr
332,ztfg
332,ztfr
332,ztfi
333,ztfg
333,ztfr
333,ztfi
334,ztfg
334,ztfr
335,ztfg
335,ztfr
336,ztfg
336,ztfr
337,ztfg
337,ztfr
337,ztfi
338,ztfg
338,ztfr
338,ztfi
339,ztfg
339,ztfr
339,ztfi
340,ztfg
340,ztfr
340,ztfi
341,ztfg
341,ztfr
341,ztfi
342,ztfg
342,ztfr
342,ztfi
343,ztfg
343,ztfr
343,ztfi
344,ztfg
344,ztfr
344,ztfi
345,ztfg
345,ztfr
345,ztfi
346,ztfg
346,ztfr
346,ztfi
347,ztfg
347,ztfr
347,ztfi
348,ztfg
348,ztfr
349,ztfg
349,ztfr
350,ztfg
350,ztfr
350,ztfi
351,ztfg
351,ztfr
351,ztfi
352,ztfg
352,ztfr
352,ztfi
353,ztfg
353,ztfr
353,ztfi
354,ztfg
354,ztfr
354,ztfi
355,ztfg
355,ztfr
355,ztfi
356,ztfg
356,ztfr
357,ztfg
357,ztfr
358,ztfg
358,ztfr
359,ztfg
359,ztfr
359,ztfi
360,ztfg
360,ztfr
360,ztfi
361,ztfg
361,ztfr
362,ztfg
362,ztfr
362,ztfi
