# From ESO https://www.eso.org/sci/observing/tools/standards/spectra/stanlis.html
name,ra,dec,epoch,comment,gaia_ra,gaia_dec,pmra,pmdec,parallax
HR9087,00 01 49.42,-03 01 39.0,2000.0,Standard V=5.12 type=B7III,0.45611349,-3.02754919,17.905,-10.329,7.5845
G158-100,00 33 54.32,-12 07 57.1,2000.0,Standard V=14.89 type=dG-K,8.47764524,-12.13384459,157.577,-191.576,2.1658
HR153,00 36 58.30,+53 53 48.9,2000.0,Standard V=3.66 type=B2IV,9.24298361,53.89686812,17.444,-9.523,6.6657
CD-34d241,00 41 46.92,-33 39 08.5,2000.0,Standard V=11.23 type=F,10.44541019,-33.65242532,-17.002,-18.818,3.6281
BPM16274,00 50 03.18,-52 08 17.4,2000.0,Standard V=14.20 type=DA2,12.53192739,-52.13870087,24.91,14.706,1.697
LTT1020,01 54 49.68,-27 28 29.7,2000.0,Standard V=11.52 type=G,28.71101747,-27.47762562,310.967,-232.066,7.3358
HR718,02 28 09.54,+08 27 36.2,2000.0,Standard V=4.28 type=B9III,37.03993004,8.46004006,,,
EG21,03 10 30.98,-68 36 02.2,2000.0,Standard V=11.38 type=DA,47.62973152,-68.60139794,39.668,-103.237,96.1834
LTT1788,03 48 22.17,-39 08 33.6,2000.0,Standard V=13.16 type=F,57.09544612,-39.14445685,214.13,-189.436,2.8394
GD50,03 48 50.06,-00 58 30.4,2000.0,Standard V=14.06 type=DA2,57.20948437,-0.9763604,84.622,-162.952,32.2169
SA95-42,03 53 43.67,-00 04 33.0,2000.0,Standard V=15.61 type=DA,58.43190233,-0.07648475,-14.884,-95.788,5.8091
HZ4,03 55 21.70,+09 47 18.7,2000.0,Standard V=14.52 type=DA4,58.83733917,9.80162738,36.837,-0.388,2.2144
LB227,04 09 28.76,+17 07 54.4,2000.0,Standard V=15.34 type=DA4,62.37094995,17.13167749,111.075,-22.292,19.9856
HZ2,04 12 43.51,+11 51 50.4,2000.0,Standard V=13.86 type=DA3,63.18174787,11.86320075,59.164,-91.016,23.0433
HR1544,04 50 36.69,+08 54 00.7,2000.0,Standard V=4.36 type=A1V,72.65301718,8.90005028,1.514,-29.451,14.9058
GD71,05 52 27.51,+15 53 16.6,2000.0,Standard V=13.03 type=DA1,88.1154373,15.88623932,76.728,-172.96,19.5638
G191-B2B,05 05 30.62,+52 49 54.0,2000.0,Standard V=11.78 type=DA1,76.37766884,52.83067351,12.701,-93.416,19.0497
HR1996,05 45 59.92,-32 18 23.4,2000.0,Standard V=5.17 type=O9V,86.4995798,-32.30653252,3.271,-22.176,1.7024
LTT2415,05 56 24.30,-27 51 28.8,2000.0,Standard V=12.21 type=,89.10428038,-27.85968843,236.54,-157.283,2.5899
HILT600,06 45 13.33,+02 08 14.1,2000.0,Standard V=10.44 type=B1,101.3057141,2.13741105,-1.092,-0.342,0.4561
HD49798,06 48 04.64,-44 18 59.3,2000.0,Standard V=8.30 type=O6,102.01955812,-44.3162059,-4.162,5.926,1.9196
HD60753,07 33 27.26,-50 35 03.7,2000.0,Standard V=6.70 type=B3IV,113.36380749,-50.58422947,-2.897,5.617,1.4719
G193-74,07 53 27.40,+52 29 35.7,2000.0,Standard V=15.70 type=DA0,118.36293912,52.49093986,-88.336,-255.293,45.8287
BD+75d325,08 10 49.31,+74 57 57.5,2000.0,Standard V=9.54 type=O5p,122.70633197,74.9661392,7.143,10.572,6.8792
LTT3218,08 41 32.37,-32 56 32.9,2000.0,Standard V=11.86 type=DA,130.37950136,-32.93649497,-1061.158,1345.9,117.3961
HR3454,08 43 13.46,+03 23 55.1,2000.0,Standard V=4.30 type=B3V,130.80606318,3.39865782,-19.269,-0.916,6.3852
AGK+81d266,09 21 19.06,+81 43 28.6,2000.0,Standard V=11.92 type=sdO,140.3295553,81.7241139,-11.248,-51.279,3.3975
GD108,10 00 47.33,-07 33 31.2,2000.0,Standard V=13.56 type=sdB,150.19666925,-7.55855757,-42.395,-2.079,1.8969
LTT3864,10 32 13.90,-35 37 42.4,2000.0,Standard V=12.17 type=F,158.05531802,-35.62827319,-260.781,-4.479,3.3439
Feige34,10 39 36.71,+43 06 10.1,2000.0,Standard V=11.18 type=DO,159.90315063,43.10244535,13.874,-25.586,4.3611
HD93521,10 48 23.51,+37 34 12.8,2000.0,Standard V=7.04 type=O9Vp,162.09796634,37.5703104,0.389,2.131,0.7837
HR4468,11 36 40.91,-09 48 08.2,2000.0,Standard V=4.70 type=B9.5V,174.17018443,-9.80220511,-59.995,3.959,10.8503
LTT4364,11 45 42.92,-64 50 29.5,2000.0,Standard V=11.50 type=C2,176.45664662,-64.84305285,2661.64,-344.933,215.6753
HR4554,11 53 49.83,+53 41 41.1,2000.0,Standard V=2.44 type=A0V,178.45836677,53.69479733,,,
Feige56,12 06 47.25,+11 40 12.7,2000.0,Standard V=11.06 type=B5p,181.69677954,11.670154,-7.114,-6.589,0.4553
HZ21,12 13 56.42,+32 56 30.8,2000.0,Standard V=14.68 type=DO2,183.48389897,32.94217832,-101.022,30.208,6.2642
Feige66,12 37 23.55,+25 04 00.3,2000.0,Standard V=10.50 type=sdO,189.34799141,25.06650899,1.504,-27.222,7.0396
LTT4816,12 38 50.94,-49 47 58.8,2000.0,Standard V=13.79 type=DA,189.70358523,-49.80039009,-557.111,-74.036,67.4058
