,name,ra,dec,amaj,amin,phi
0,4FGL J0000.3-7355 ,0.0983,-73.922,0.0525,0.051,-62.7
1,4FGL J0001.2+4741 ,0.3126,47.6859,0.0598,0.0538,-45.9
2,4FGL J0001.2-0747 ,0.3151,-7.7971,0.0299,0.0285,64.1
3,4FGL J0001.5+2113 ,0.3815,21.2183,0.0422,0.0389,-60.52
4,4FGL J0001.6-4156 ,0.4165,-41.9425,0.0692,0.0525,44.09
5,4FGL J0002.1-6728 ,0.5378,-67.4746,0.0352,0.0311,52.51
6,4FGL J0002.3-0815 ,0.5937,-8.2652,0.0677,0.0541,56.69
7,4FGL J0002.8+6217 ,0.7201,62.2905,0.0343,0.0328,3.84
8,4FGL J0003.1-5248 ,0.7817,-52.8071,0.0333,0.0305,-41.61
9,4FGL J0003.3-1928 ,0.8465,-19.4676,0.0708,0.0614,-51.75
10,4FGL J0003.6+3059 ,0.9045,30.9898,0.081,0.0714,-83.55
11,4FGL J0003.9-1149 ,0.9986,-11.8251,0.0524,0.0499,-31.93
12,4FGL J0004.0+0840 ,1.0073,8.6757,0.0815,0.0626,-56.38
13,4FGL J0004.4-4737 ,1.1091,-47.6233,0.0451,0.041,-9.35
14,4FGL J0006.4+0135 ,1.6094,1.5982,0.0731,0.0614,56.38
15,4FGL J0006.6+4618 ,1.6697,46.3046,0.0647,0.0556,-81.84
16,4FGL J0007.0+7303 ,1.768,73.0512,0.0073,0.0073,-49.42
17,4FGL J0007.7+4008 ,1.9275,40.134,0.0474,0.0413,73.04
18,4FGL J0008.0+4711 ,2.0024,47.195,0.0158,0.0154,42.66
19,4FGL J0008.4+6926 ,2.1072,69.4409,0.082,0.0548,57.42
20,4FGL J0008.4-2339 ,2.111,-23.6514,0.0413,0.0338,27.94
21,4FGL J0008.4+1455 ,2.1246,14.9232,0.048,0.046,34.89
22,4FGL J0009.1+0628 ,2.2973,6.4828,0.0343,0.0303,-83.61
23,4FGL J0009.3+5030 ,2.3466,50.5115,0.0137,0.0135,36.45
24,4FGL J0009.7-3217 ,2.4443,-32.2976,0.0567,0.0488,-26.07
25,4FGL J0009.8-4317 ,2.4533,-43.2979,0.046,0.0385,75.11
26,4FGL J0009.8+1340 ,2.4653,13.6712,0.0751,0.0699,68.57
27,4FGL J0010.6-3025 ,2.6675,-30.4258,0.0552,0.0493,20.94
28,4FGL J0011.4+0057 ,2.8551,0.9646,0.0584,0.05,55.98
29,4FGL J0012.0+7043 ,3.0032,70.7326,0.0571,0.0439,-26.08
30,4FGL J0013.1-3955 ,3.2802,-39.9272,0.0337,0.0325,-14.96
31,4FGL J0013.4+0950 ,3.3544,9.837,0.056,0.0524,-64.76
32,4FGL J0013.6+4051 ,3.4014,40.8563,0.0723,0.0578,1.09
33,4FGL J0013.9-1854 ,3.4804,-18.9118,0.0395,0.035,-64.38
34,4FGL J0014.1-5022 ,3.5479,-50.3703,0.0607,0.0522,-23.85
35,4FGL J0014.3-0500 ,3.5864,-5.012,0.053,0.0432,-17.89
36,4FGL J0014.7+5801 ,3.6867,58.0272,0.0406,0.0359,-51.92
37,4FGL J0014.8+6118 ,3.7212,61.3037,0.0368,0.0351,-89.36
38,4FGL J0015.2+3537 ,3.8247,35.6172,0.0594,0.05,-81.91
39,4FGL J0015.6+5551 ,3.9071,55.8636,0.0315,0.0269,79.63
40,4FGL J0015.9+2440 ,3.9917,24.6805,0.0494,0.0446,-5.32
41,4FGL J0016.2-0016 ,4.061,-0.2806,0.0654,0.0608,26.0
42,4FGL J0017.0-0649 ,4.2635,-6.8317,0.0586,0.0505,-63.68
43,4FGL J0017.5-0514 ,4.3949,-5.2347,0.0474,0.0409,25.07
44,4FGL J0018.4+2946 ,4.6151,29.7792,0.0367,0.0345,8.53
45,4FGL J0019.2-5640 ,4.8106,-56.6826,0.0737,0.0557,-73.07
46,4FGL J0019.3-8152 ,4.8327,-81.8798,0.0348,0.0312,-62.02
47,4FGL J0019.6+7327 ,4.9031,73.456,0.0325,0.0311,-17.47
48,4FGL J0019.6+2022 ,4.907,20.3755,0.0545,0.0511,-57.59
49,4FGL J0021.0+0322 ,5.2565,3.3783,0.047,0.0406,-29.68
50,4FGL J0021.5-2552 ,5.3912,-25.8681,0.028,0.0268,-31.59
51,4FGL J0021.9-5140 ,5.4985,-51.6728,0.0287,0.0255,52.51
52,4FGL J0022.0+0006 ,5.5154,0.1134,0.0431,0.0392,25.86
53,4FGL J0022.1-1854 ,5.5353,-18.9068,0.0218,0.0204,27.3
54,4FGL J0022.5+0608 ,5.6376,6.1343,0.0223,0.0209,-38.45
55,4FGL J0023.4+0920 ,5.8513,9.3475,0.0425,0.0397,-49.03
56,4FGL J0023.7-6820 ,5.9347,-68.3381,0.0795,0.0742,-86.15
