filter,mjd,flux,zp,magsys,fluxerr,ra_unc,dec_unc,ra,dec
ztfg,58572.41445000004,16099.04076215707,25.0,ab,163.10541030475704,0.25,0.22,229.9619169,34.8444553
ztfg,58568.36696999986,26278.46540838493,25.0,ab,266.23697311762675,0.25,0.22,229.9620658,34.8442506
ztfg,58712.22056999989,19107.329810428735,25.0,ab,193.5835131173816,0.25,0.22,229.9620581,34.844243
ztfg,58543.41712999996,16233.045277654592,25.0,ab,164.46306022973215,0.25,0.22,229.962071,34.8442606
ztfg,58607.28796999995,16795.77313988085,25.0,ab,170.1642669174053,0.25,0.22,229.9620609,34.844249
ztfg,58733.12773999991,22761.453931416472,25.0,ab,230.60481288694362,0.25,0.22,229.9620487,34.8442539
ztfg,58232.334350000136,16657.12328068812,25.0,ab,168.7595532759885,0.25,0.22,229.9620664,34.8442717
ztfg,58350.21970999986,22761.453931416472,25.0,ab,230.60481288694362,0.25,0.22,229.9620182,34.8443473
ztfg,58367.13425000012,26595.000327215203,25.0,ab,269.4439069079277,0.25,0.22,229.9620585,34.8442616
ztfg,58282.17418000009,24637.69076721767,25.0,ab,249.6136708340335,0.25,0.22,229.9620599,34.8442851
ztfg,58643.21645000018,16277.960863937968,25.0,ab,164.91811685317083,0.25,0.22,229.9620643,34.8442473
ztfg,58336.15878999978,20044.720273651634,25.0,ab,203.08056690950156,0.25,0.22,229.962088,34.8442775
ztfg,58596.37715000007,28366.124193125146,25.0,ab,287.38782599712215,0.25,0.22,229.9620625,34.8442529
ztfg,58363.133539999835,18914.72362833017,25.0,ab,191.6321477644679,0.25,0.22,229.9620601,34.8442735
ztfg,58214.373709999956,15275.660582380731,25.0,ab,154.7634373857923,0.25,0.22,229.9620874,34.844263
ztfg,58267.251980000176,14873.048700465295,25.0,ab,150.68442565064908,0.25,0.22,229.9620612,34.8442623
ztfg,58669.2969800001,25095.7396370284,25.0,ab,254.25433545212218,0.25,0.22,229.96208,34.8442495
ztfg,58635.18464000011,17426.091898259307,25.0,ab,176.55026228364898,0.25,0.22,229.9620682,34.844261
ztfg,58586.31007000012,25421.431362049374,25.0,ab,257.55404027474,0.25,0.22,229.9620643,34.8442572
ztfg,58340.15492000012,14804.71324897625,25.0,ab,149.99209360315953,0.25,0.22,229.9620885,34.8442697
ztfg,58331.31777000008,23507.151159382975,25.0,ab,238.15975073246403,0.25,0.22,229.962081,34.8442641
ztfg,58616.333629999775,15346.16982799294,25.0,ab,155.47779295552854,0.25,0.22,229.9620643,34.8442551
ztfg,58294.34159999993,24010.43343569326,25.0,ab,243.25869192961036,0.25,0.22,229.9620617,34.8442583
ztfg,58538.55077000009,17394.021397803066,25.0,ab,176.22534403461333,0.25,0.22,229.9620599,34.8442769
ztfg,58320.22566,23377.604122746896,25.0,ab,236.84726119495312,0.25,0.22,229.9620614,34.8442719
ztfg,58227.38482999988,19606.496672265992,25.0,ab,198.6407595094701,0.25,0.22,229.9620665,34.8442843
ztfg,58719.15933000017,17410.049263526078,25.0,ab,176.38772834394476,0.25,0.22,229.9620707,34.8442531
ztfg,58591.336649999954,17684.79378281801,25.0,ab,179.1712679479584,0.25,0.22,229.9620623,34.8442525
ztfg,58612.333469999954,22059.720217473285,25.0,ab,223.49528586428835,0.25,0.22,229.9620574,34.8442567
ztfg,58627.437489999924,15473.9076282088,25.0,ab,156.77195244139122,0.25,0.22,229.96206,34.8442552
ztfg,58345.15469000023,19606.496672265992,25.0,ab,198.6407595094701,0.25,0.22,229.9620699,34.8442728
ztfg,58379.119419999886,16795.77313988085,25.0,ab,170.1642669174053,0.25,0.22,229.9620672,34.8442676
ztfg,58272.35440000007,17266.328527432386,25.0,ab,174.93163974983634,0.25,0.22,229.962044,34.8442729
ztfg,58286.20362999989,16749.42876026438,25.0,ab,169.6947346536923,0.25,0.22,229.9620644,34.8442744
ztfg,58249.30249000015,14335.076007281257,25.0,ab,145.23402285020416,0.25,0.22,229.962015,34.8443801
ztfg,58254.38873999985,17701.08958317422,25.0,ab,179.3363668033878,0.25,0.22,229.9620695,34.8442764
ztfg,58277.17460000003,16919.98602503004,25.0,ab,171.4227141688105,0.25,0.22,229.9620627,34.8442796
ztfg,58560.30745999981,16873.29890625803,25.0,ab,170.9497094863728,0.25,0.22,229.9620725,34.8442878
ztfg,58639.20807000017,24143.48729714154,25.0,ab,244.60671042243683,0.25,0.22,229.9620626,34.8442559
ztfg,58299.29771000007,17234.55205109161,25.0,ab,174.60970036921282,0.25,0.22,229.9620698,34.8442644
ztfg,58556.52834000019,17060.823890031243,25.0,ab,172.8495953163795,0.25,0.22,229.9620404,34.8443117
ztfg,58290.18085000012,21498.09610389358,25.0,ab,217.80526166745602,0.25,0.22,229.9620714,34.8442859
ztfg,58648.278940000106,20473.872763416417,25.0,ab,207.42847148099196,0.25,0.22,229.9620607,34.8442424
ztfg,58308.174289999995,20118.703951494343,25.0,ab,203.8301232531786,0.25,0.22,229.9620652,34.8442662
ztfg,58661.18758000014,16534.840121711517,25.0,ab,167.52065680303068,0.25,0.22,229.9620457,34.8442664
ztfg,58581.39318000013,16951.18251531402,25.0,ab,171.73877749351473,0.25,0.22,229.9620665,34.8442597
ztfg,58261.219029999804,18484.171953696557,25.0,ab,187.27006752714163,0.25,0.22,229.9620494,34.8442919
ztfr,58249.281010000035,14723.125024327193,25.0,ab,149.16549274823768,0.25,0.22,229.9620368,34.8444365
ztfr,58226.3419499998,18180.25623774263,25.0,ab,184.1909836064865,0.25,0.22,229.9620542,34.8442658
ztfr,58229.38361999998,24344.451836922017,25.0,ab,246.6427574268429,0.25,0.22,229.9620653,34.8442795
ztfr,58222.34867999982,14521.11617587742,25.0,ab,147.11886546165783,0.25,0.22,229.9620561,34.8442769
ztfr,58222.43981999997,32809.529311311904,25.0,ab,332.4056270983973,0.25,0.22,229.9620665,34.8442898
ztfr,58278.29450999992,15776.112696993468,25.0,ab,159.83370515501662,0.25,0.22,229.9620672,34.8442829
ztfr,58245.360330000054,17234.55205109161,25.0,ab,174.60970036921282,0.25,0.22,229.9620339,34.8443487
ztfr,58226.34290000005,18163.519311765114,25.0,ab,184.02141554220654,0.25,0.22,229.9620622,34.8442574
ztfr,58277.266830000095,15038.34347961358,25.0,ab,152.3590889534211,0.25,0.22,229.9620884,34.8442711
ztfr,58218.40791000007,18689.599716514924,25.0,ab,189.35133311541438,0.25,0.22,229.9620765,34.8442943
ztfr,58258.25835999986,14750.271017597594,25.0,ab,149.4405189709743,0.25,0.22,229.9620435,34.8442926
ztfr,58250.25890999986,15776.112696993468,25.0,ab,159.83370515501662,0.25,0.22,229.9620658,34.8443196
ztfr,58249.27424000017,14454.39770745928,25.0,ab,146.44291567514475,0.25,0.22,229.9619085,34.8444863
ztfr,58243.32273000013,16277.960863937968,25.0,ab,164.91811685317083,0.25,0.22,229.962074,34.844272
ztfr,58276.30214999989,32389.183499687726,25.0,ab,328.14694628084146,0.25,0.22,229.962062,34.844261
ztfr,58274.3196899998,21777.09772353159,25.0,ab,220.6319315491622,0.25,0.22,229.962067,34.8442769
ztfr,58243.295030000154,16611.161476000158,25.0,ab,168.29389702213277,0.25,0.22,229.9620688,34.8442839
ztfr,58270.30633000005,15834.341239145762,25.0,ab,160.4236403194472,0.25,0.22,229.9620592,34.8442519
ztfr,58231.36037999997,14521.11617587742,25.0,ab,147.11886546165783,0.25,0.22,229.9620784,34.8443206
ztfr,58218.46883000014,16966.802323464657,25.0,ab,171.89702761878183,0.25,0.22,229.9620541,34.8442816
ztfr,58222.509550000075,25165.177616146448,25.0,ab,254.9578376198665,0.25,0.22,229.9620537,34.8442702
ztfr,58281.21583000012,20436.193210844693,25.0,ab,207.0467258246447,0.25,0.22,229.9620725,34.8442772
ztfr,58245.36127000023,15602.708686930617,25.0,ab,158.07688419731863,0.25,0.22,229.9620187,34.8443584
ztfr,58257.38412000006,23637.41608116292,25.0,ab,239.47951343318215,0.25,0.22,229.9620742,34.8442876
ztfr,58231.31275000004,15191.476984475235,25.0,ab,153.91054183256264,0.25,0.22,229.9620478,34.8442808
ztfr,58247.26933000004,32092.23768048436,25.0,ab,325.13847699406904,0.25,0.22,229.9620576,34.8442761
ztfr,58266.2751000002,32270.076875155322,25.0,ab,326.9402324678025,0.25,0.22,229.9620629,34.8442874
ztfr,58217.37103000004,17996.995165773587,25.0,ab,182.33429706360482,0.25,0.22,229.9620574,34.8442674
ztfr,58250.25387000013,15995.580286146678,25.0,ab,162.05721348115082,0.25,0.22,229.9620978,34.8444362
ztfr,58229.37859999994,24569.708276368412,25.0,ab,248.92491476295302,0.25,0.22,229.9620739,34.8442813
ztfr,58257.33666000003,27491.59896551042,25.0,ab,278.5276834470607,0.25,0.22,229.9620759,34.8442998
ztfr,58244.334960000124,16611.161476000158,25.0,ab,168.29389702213277,0.25,0.22,229.9620765,34.8442974
ztfr,58219.34748,24524.49086072023,25.0,ab,248.46680019319842,0.25,0.22,229.9620652,34.8443059
ztfr,58273.322439999785,19230.917289101613,25.0,ab,194.8356241415896,0.25,0.22,229.962066,34.844272
ztfr,58217.37007999979,17914.306484060246,25.0,ab,181.4965470660946,0.25,0.22,229.9620618,34.8442647
ztfr,58219.33087000018,25941.793621188175,25.0,ab,262.82602517358265,0.25,0.22,229.9620561,34.8442995
ztfr,58279.24037999986,16203.170427400004,25.0,ab,164.16038693505848,0.25,0.22,229.9620561,34.8442718
ztfr,58269.36345000006,13918.74248839297,25.0,ab,141.015992072773,0.25,0.22,229.9620645,34.8442644
ztfr,58255.279860000126,23099.3628017319,25.0,ab,234.02829418329324,0.25,0.22,229.9620436,34.8443149
ztfr,58291.25956000015,20118.703951494343,25.0,ab,203.8301232531786,0.25,0.22,229.9620563,34.8442735
ztfr,58257.36504000006,24934.461880978353,25.0,ab,252.62037011454706,0.25,0.22,229.9620682,34.8442843
ztfr,58591.42156000016,15863.536054785027,25.0,ab,160.71942392879163,0.25,0.22,229.9620596,34.8442763
ztfr,58296.27094000019,15121.678487917665,25.0,ab,153.20338712764143,0.25,0.22,229.9620643,34.8442617
ztfr,58311.17546000006,32718.99836231792,25.0,ab,331.4884241545019,0.25,0.22,229.9620853,34.8442733
ztfr,58572.43931999989,15776.112696993468,25.0,ab,159.83370515501662,0.25,0.22,229.9620615,34.8442564
ztfr,58284.19322999986,19516.413002858306,25.0,ab,197.7280881225489,0.25,0.22,229.962074,34.844263
ztfr,58324.17304999987,15907.429237502194,25.0,ab,161.1641221988584,0.25,0.22,229.9620719,34.8442879
ztfr,58598.398829999845,14216.73931308004,25.0,ab,144.0351094896536,0.25,0.22,229.9620643,34.8442598
ztfr,58288.27774999989,15951.443869276016,25.0,ab,161.61005091479512,0.25,0.22,229.9620667,34.8442723
ztfr,58324.20724999998,15445.429874014219,25.0,ab,156.48343365004908,0.25,0.22,229.9620718,34.8442741
ztfr,58323.248490000144,13918.74248839297,25.0,ab,141.015992072773,0.25,0.22,229.9620671,34.8442745
ztfr,58561.40316000022,14886.753594923659,25.0,ab,150.82327506825345,0.25,0.22,229.9620724,34.8442855
ztfr,58596.31782,16054.618868009706,25.0,ab,162.6553554612131,0.25,0.22,229.9620525,34.8442725
ztfr,58351.144530000165,15674.727518004376,25.0,ab,158.80653394263555,0.25,0.22,229.9620578,34.8442685
ztfr,58572.44225999992,15995.580286146678,25.0,ab,162.05721348115082,0.25,0.22,229.9620694,34.8442553
ztfr,58591.38393000001,16099.04076215707,25.0,ab,163.10541030475704,0.25,0.22,229.9620499,34.844264
ztfr,58248.30236000009,29187.708481971455,25.0,ab,295.711604072597,0.25,0.22,229.9620258,34.8443569
ztfr,58311.17443000013,32359.365692962878,25.0,ab,327.8448509155278,0.25,0.22,229.9620647,34.844275
ztfr,58569.38266000012,16218.100973589299,25.0,ab,164.3116538892986,0.25,0.22,229.9620609,34.8442698
ztfr,58218.36499000015,20379.803862870547,25.0,ab,206.47542422512578,0.25,0.22,229.9620499,34.8442765
ztfr,58325.21906000003,15834.341239145762,25.0,ab,160.4236403194472,0.25,0.22,229.9620731,34.8442748
ztfr,58598.34226999991,15936.758810287665,25.0,ab,161.46127108331132,0.25,0.22,229.9620665,34.8442637
ztfr,58270.34388000006,15617.085932653737,25.0,ab,158.2225454573506,0.25,0.22,229.9620683,34.8442684
ztfr,58219.40352000017,21203.13116739852,25.0,ab,214.81686144515004,0.25,0.22,229.9620829,34.8443458
ztfr,58275.3648000001,22366.601494661794,25.0,ab,226.604414996276,0.25,0.22,229.9620481,34.8442746
ztfr,58261.32149,16218.100973589299,25.0,ab,164.3116538892986,0.25,0.22,229.9620267,34.8444204
ztfr,58222.41871999996,27491.59896551042,25.0,ab,278.5276834470607,0.25,0.22,229.9620656,34.844289
ztfr,58256.26024999982,30789.313097416132,25.0,ab,311.93806015823867,0.25,0.22,229.9620667,34.844278
ztfr,58224.32519999985,16025.072388814211,25.0,ab,162.35600901669883,0.25,0.22,229.9620615,34.8443042
ztfr,58224.34961999999,16025.072388814211,25.0,ab,162.35600901669883,0.25,0.22,229.962047,34.8443009
ztfr,58216.41182000004,15892.784698824686,25.0,ab,161.01575289381668,0.25,0.22,229.9620422,34.8443537
ztfr,58279.26024000021,16010.319546673312,25.0,ab,162.2065424487149,0.25,0.22,229.9620684,34.8442625
ztfr,58217.43412999995,16233.045277654592,25.0,ab,164.46306022973215,0.25,0.22,229.9620611,34.8442741
ztfr,58274.31510999985,21958.36500973188,25.0,ab,222.4684183018404,0.25,0.22,229.9620666,34.8442705
ztfr,58261.35766000021,15374.464569916903,25.0,ab,155.76445758102744,0.25,0.22,229.9619547,34.8444286
ztfr,58226.403560000006,16489.215731508328,25.0,ab,167.05841902166623,0.25,0.22,229.9620566,34.8442748
ztfr,58280.19303999981,18827.818367346757,25.0,ab,190.7516780234594,0.25,0.22,229.9620472,34.844284
