,Unnamed: 0,nightdate,jd,field,rcid,ra0,dec0,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,sciinpseeing,difffwhm,exptime,status,exitcode
0,742565, 2019-04-25 ,2458598.8460417003,1,5,180.9999516639,59.69516921466999,3,2,84434604,2,21.51,20.4051,1.5196,2.28953,30,1,0
1,742566, 2019-04-25 ,2458598.8460417003,1,17,184.9625048382,61.52512877731999,0,2,84434604,2,21.45,20.4238,1.5602,2.30875,30,1,56
2,742567, 2019-04-25 ,2458598.8460417003,1,50,185.4911110293,64.47581142726999,10,2,84434604,2,21.42,20.5397,1.6065,2.35211,30,1,0
3,742568, 2019-04-25 ,2458598.8460417003,1,37,181.1304132632,63.52565893274,2,2,84434604,2,21.44,20.4022,1.5422,2.24496,30,1,0
4,742569, 2019-04-25 ,2458598.8460417003,1,26,177.2464298578,60.71991470854,4,2,84434604,2,21.49,20.4654,1.516,2.34943,30,1,0
5,742570, 2019-04-25 ,2458598.8460417003,1,56,178.8401757019,65.43985108695,4,2,84434604,2,21.39,20.4048,1.5386,2.29779,30,1,0
6,742571, 2019-04-25 ,2458598.8460417003,1,63,174.5652777338,64.47795488770001,4,2,84434604,2,21.31,20.4294,1.6427,2.27569,30,1,0
7,742572, 2019-04-25 ,2458598.8460417003,1,8,179.0427034561,59.69584385912,9,2,84434604,2,21.51,20.4974,1.5206,2.29504,30,1,0
8,742573, 2019-04-25 ,2458598.8460417003,1,44,174.7622188771,63.43609720701,5,2,84434604,2,21.36,20.4326,1.7296,2.26735,30,1,0
9,742574, 2019-04-25 ,2458598.8460417003,1,7,182.6426125247,58.80509616615,2,2,84434604,2,21.48,20.456,1.5794,2.28123,30,1,0
10,742575, 2019-04-25 ,2458598.8460417003,1,34,185.1365086664,62.56714815963,7,2,84434604,2,21.47,20.3822,1.7168,2.40784,30,1,0
11,742576, 2019-04-25 ,2458598.8460417003,1,0,186.3702057744,59.5444317692,7,2,84434604,2,21.38,20.3784,1.6205,2.26735,30,1,0
12,742577, 2019-04-25 ,2458598.8460417003,1,36,183.0671324855,63.49777333133,3,2,84434604,2,21.45,20.5149,1.4953,2.25058,30,1,0
13,742578, 2019-04-25 ,2458598.8460417003,1,53,181.2189206021,65.43808232859,5,2,84434604,2,21.38,20.3615,1.5402,2.34135,30,1,0
14,742579, 2019-04-25 ,2458598.8460417003,1,23,182.7986160214,60.71652935484,7,2,84434604,2,21.52,20.5317,1.5098,2.32239,30,1,0
15,742580, 2019-04-25 ,2458598.8460417003,1,12,175.3670664751,59.61774086663,11,2,84434604,2,21.45,20.4291,1.5328,2.31149,30,1,0
16,742581, 2019-04-25 ,2458598.8460417003,1,52,183.2951027573,65.40553699252,6,2,84434604,2,21.4,20.4247,1.5444,2.30602,30,1,0
17,742582, 2019-04-25 ,2458598.8460417003,1,31,175.2157946508,60.66227925359,1,2,84434604,2,21.44,20.4559,1.5208,2.32782,30,1,0
18,742583, 2019-04-25 ,2458598.8460417003,1,38,181.0980572029,62.65936543702,4,2,84434604,2,21.46,20.3949,1.561,2.29228,30,1,0
19,742584, 2019-04-25 ,2458598.8460417003,1,55,183.1862280211,64.54038474104,1,2,84434604,2,21.44,20.4686,1.5247,2.30053,30,1,0
20,742585, 2019-04-25 ,2458598.8460417003,1,61,172.3312494169,65.25097854795,1,2,84434604,2,21.06,20.1524,1.889,2.44945,30,1,0
21,742586, 2019-04-25 ,2458598.8460417003,1,19,186.5825322362,60.58544868826,3,2,84434604,2,21.43,20.6066,1.654,2.39205,30,1,0
22,742587, 2019-04-25 ,2458598.8460417003,1,27,179.01329404380002,60.74611551931,7,2,84434604,2,21.48,20.4756,1.5149,2.34135,30,1,0
23,742588, 2019-04-25 ,2458598.8460417003,1,22,181.0318912732,60.74192584424,10,2,84434604,2,21.52,20.4067,1.4931,2.27291,30,1,0
24,742589, 2019-04-25 ,2458598.8460417003,1,57,176.76389703130002,65.4079229614,3,2,84434604,2,21.34,20.3111,1.6121,2.28676,30,1,0
25,742590, 2019-04-25 ,2458598.8460417003,1,4,182.7111099756,59.67075317193001,3,2,84434604,2,21.5,20.5439,1.5348,2.29504,30,1,0
26,742591, 2019-04-25 ,2458598.8460417003,1,29,173.27595104259998,61.44704407617,1,2,84434604,2,21.32,20.3902,1.6635,2.27569,30,1,0
27,742592, 2019-04-25 ,2458598.8460417003,1,35,187.001711208,62.48655260528001,2,2,84434604,2,21.36,20.4111,1.7623,2.33324,30,1,0
28,742593, 2019-04-25 ,2458598.8460417003,1,13,173.6663383373,59.54610557496,3,2,84434604,2,21.32,20.2804,1.6208,2.25898,30,1,0
29,742594, 2019-04-25 ,2458598.8460417003,1,54,181.1762377063,64.57187072341,7,2,84434604,2,21.45,20.4329,1.474,2.25338,30,1,0
30,742595, 2019-04-25 ,2458598.8460417003,1,24,178.9824703196,61.61238660314,7,2,84434604,2,21.48,20.5328,1.5556,2.33865,30,1,0
31,742596, 2019-04-25 ,2458598.8460417003,1,49,185.6698293143,65.33877611803,6,2,84434604,2,21.39,20.2978,1.5853,2.34135,30,1,0
32,742597, 2019-04-25 ,2458598.8460417003,1,6,180.9745009373,58.82891057346,0,2,84434604,2,21.5,20.3995,1.5564,2.28123,30,0,44
33,742598, 2019-04-25 ,2458598.8460417003,1,16,186.7655843414,61.447104303390006,5,2,84434604,2,21.4,20.4775,1.746,2.2617700000000003,30,1,0
34,742599, 2019-04-25 ,2458598.8460417003,1,46,173.0531839399,62.49083443091,0,2,84434604,2,21.26,20.3162,1.7297,2.30875,30,1,56
35,742600, 2019-04-25 ,2458598.8460417003,1,41,176.98324034599997,63.49938290795,1,2,84434604,2,21.43,20.3826,1.5901,2.27013,30,1,0
36,742601, 2019-04-25 ,2458598.8460417003,1,32,187.2095065273,63.34758656359,4,2,84434604,2,21.33,20.4684,1.6794,2.26456,30,1,0
37,742602, 2019-04-25 ,2458598.8460417003,1,60,174.38754579259998,65.34096002119,3,2,84434604,2,21.25,20.339,1.74,2.33053,30,1,0
38,742603, 2019-04-25 ,2458598.8460417003,1,2,184.547464993,58.7553736547,4,2,84434604,2,21.48,20.2928,1.5523,2.28123,30,1,0
39,742604, 2019-04-25 ,2458598.8460417003,1,40,178.92006091759998,63.52702820343001,8,2,84434604,2,21.49,20.4874,1.5574,2.27291,30,1,0
