observation_id,field_id,obstime,seeing,limmag,exposure_time,filter,processed_fraction
94434604,1,2019-04-25T08:18:18,1.5741500000,20.4070500000,30,ztfr,1.00000
94434651,1,2019-04-25T08:18:59,1.5812000000,20.4940500000,30,ztfr,1.00000
94434696,1,2019-04-25T08:19:38,1.6499500000,20.5603000000,30,ztfr,1.00000
94434741,1,2019-04-25T08:20:17,1.5494500000,20.5740000000,30,ztfr,1.00000
94434788,1,2019-04-25T08:20:56,1.6287000000,20.6038500000,30,ztfr,1.00000
94434834,1,2019-04-25T08:21:37,1.5680000000,20.6258000000,30,ztfr,1.00000
94434879,1,2019-04-25T08:22:16,1.6299000000,20.5596500000,30,ztfr,0.96875
94434925,1,2019-04-25T08:22:56,1.4790500000,20.5350500000,30,ztfr,1.00000
94434969,1,2019-04-25T08:23:34,1.6119500000,20.4793500000,30,ztfr,1.00000
94435016,1,2019-04-25T08:24:14,1.5719000000,20.5783000000,30,ztfr,1.00000
