filter,mjd,flux,zp,magsys,fluxerr
ztfi,60900.10024,821.2587,23.9,ab,22.6922
ztfr,60900.14634,698.2967,23.9,ab,19.2947
ztfg,60900.18734,448.6214,23.9,ab,12.3959
ztfr,60901.03529,669.9463,23.9,ab,18.5113
ztfg,60901.14939,426.0691,23.9,ab,11.7727
ztfi,60901.16185,824.2140,23.9,ab,22.7739
ztfr,60902.00974,726.7081,23.9,ab,20.0797
ztfg,60902.18609,444.9590,23.9,ab,12.2947
ztfi,60902.20749,810.8117,23.9,ab,22.4036
ztfr,60903.05464,674.9009,23.9,ab,18.6482
ztfi,60903.05974,801.1614,23.9,ab,22.1369
ztfg,60903.20612,420.6104,23.9,ab,11.6219
ztfg,60904.11561,422.1240,23.9,ab,11.6637
ztfr,60904.19204,663.3153,23.9,ab,18.3281
ztfi,60904.23346,728.1821,23.9,ab,20.1204
ztfr,60905.15114,690.1762,23.9,ab,19.0703
ztfg,60905.18063,420.8429,23.9,ab,11.6283
ztfi,60905.25885,715.8137,23.9,ab,19.7787
ztfg,60906.24954,396.2780,23.9,ab,10.9496
ztfr,60906.26373,674.7766,23.9,ab,18.6448
ztfi,60906.27751,719.4490,23.9,ab,19.8791
ztfi,60907.12776,717.3317,23.9,ab,19.8206
ztfr,60907.20971,615.5736,23.9,ab,17.0089
ztfg,60907.23703,396.4971,23.9,ab,10.9556
ztfg,60908.08031,389.5112,23.9,ab,10.7626
ztfi,60908.10841,735.5971,23.9,ab,20.3253
ztfr,60908.24140,618.8708,23.9,ab,17.1000
ztfg,60909.00043,378.0942,23.9,ab,10.4471
ztfr,60909.04380,611.1109,23.9,ab,16.8856
ztfi,60909.07478,697.3327,23.9,ab,19.2680
ztfg,60910.25911,382.6485,23.9,ab,10.5730
ztfi,60910.25976,695.5366,23.9,ab,19.2184
ztfr,60910.29905,604.5051,23.9,ab,16.7031
ztfr,60911.10835,611.3360,23.9,ab,16.8918
ztfg,60911.13709,382.5075,23.9,ab,10.5691
ztfi,60911.14018,674.4038,23.9,ab,18.6345
ztfr,60912.20150,574.6455,23.9,ab,15.8780
ztfi,60912.21893,665.6409,23.9,ab,18.3923
ztfg,60912.29175,372.4946,23.9,ab,10.2924
ztfr,60913.00658,588.7352,23.9,ab,16.2674
ztfg,60913.04782,360.8444,23.9,ab,9.9705
ztfi,60913.20795,621.2695,23.9,ab,17.1663
