# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2021zac
# CHANNEL = B+R
# EXPNUM = 21_261_058
# MJD-OBS = 59475.616424
# DATE-OBS = 2021-09-18T14:48:08
# EXPTIME = 1800.0s
# AIRMASS = 1.95
# RA = 08:20:57.09
# DEC = 58:51:24.99
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 4.050476e-17 5.507403e-17
3405.860000 3.266665e-19 5.655115e-17
3408.860000 -1.546899e-17 5.138223e-17
3411.860000 -4.764034e-17 4.799090e-17
3414.860000 -6.872254e-17 5.255504e-17
3417.860000 -3.499144e-17 5.384459e-17
3420.860000 -1.879741e-17 4.813800e-17
3423.860000 4.586280e-17 4.694166e-17
3426.860000 4.221749e-18 5.242542e-17
3429.860000 -3.362378e-18 5.210790e-17
3432.860000 5.851333e-17 4.602175e-17
3435.860000 2.229156e-17 4.583447e-17
3438.860000 6.363255e-18 5.128949e-17
3441.860000 -2.135189e-17 4.985588e-17
3444.860000 -5.123291e-17 4.349356e-17
3447.860000 -3.351706e-17 4.452589e-17
3450.860000 -1.171367e-18 4.864298e-17
3453.860000 -4.091402e-18 4.690435e-17
3456.860000 -4.007555e-18 4.212303e-17
3459.860000 -3.024393e-17 4.446126e-17
3462.860000 2.660134e-17 4.820185e-17
3465.860000 2.503021e-17 4.529640e-17
3468.860000 -5.210862e-17 4.137009e-17
3471.860000 -9.317819e-17 4.443211e-17
3474.860000 -3.370444e-17 4.673429e-17
3477.860000 -1.646935e-17 4.292398e-17
3480.860000 -3.524493e-17 4.009312e-17
3483.860000 -1.385989e-17 4.467246e-17
3486.860000 -5.659583e-17 4.515022e-17
3489.860000 -2.823946e-17 4.079118e-17
3492.860000 -8.542302e-18 3.922752e-17
3495.860000 -4.681975e-17 4.335651e-17
3498.860000 -5.270881e-17 4.336636e-17
3501.860000 -5.812356e-17 3.772532e-17
3504.860000 -3.684684e-17 3.722881e-17
3507.860000 1.966438e-18 4.221511e-17
3510.860000 -3.292339e-17 4.132801e-17
3513.860000 -3.206908e-18 3.611036e-17
3516.860000 4.327071e-17 3.707699e-17
3519.860000 1.334414e-17 4.047985e-17
3522.860000 4.375380e-17 3.921752e-17
3525.860000 -2.051998e-17 3.507996e-17
3528.860000 -3.774333e-17 3.711866e-17
